framework	basic	information	topology	spectral	unified	persistent	k_theory	ultimate	percolation	random_matrix	gauge	spin_glass	knot	matroid	category	tropical	advanced_combined
basic	1.000	0.000	0.000	0.167	0.167	0.000	0.500	0.500	0.000	0.500	0.067	0.500	0.000	0.500	1.000	0.167	0.667
information	0.000	1.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
topology	0.000	1.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
spectral	0.167	0.000	0.000	1.000	1.000	0.000	0.083	0.083	0.000	0.083	0.400	0.083	0.000	0.083	0.167	1.000	0.250
unified	0.167	0.000	0.000	1.000	1.000	0.000	0.083	0.083	0.000	0.083	0.400	0.083	0.000	0.083	0.167	1.000	0.250
persistent	0.000	1.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
k_theory	0.500	0.000	0.000	0.083	0.083	0.000	1.000	1.000	0.000	1.000	0.033	1.000	0.000	1.000	0.500	0.083	0.333
ultimate	0.500	0.000	0.000	0.083	0.083	0.000	1.000	1.000	0.000	1.000	0.033	1.000	0.000	1.000	0.500	0.083	0.333
percolation	0.000	1.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
random_matrix	0.500	0.000	0.000	0.083	0.083	0.000	1.000	1.000	0.000	1.000	0.033	1.000	0.000	1.000	0.500	0.083	0.333
gauge	0.067	0.000	0.000	0.400	0.400	0.000	0.033	0.033	0.000	0.033	1.000	0.033	0.000	0.033	0.067	0.400	0.100
spin_glass	0.500	0.000	0.000	0.083	0.083	0.000	1.000	1.000	0.000	1.000	0.033	1.000	0.000	1.000	0.500	0.083	0.333
knot	0.000	1.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
matroid	0.500	0.000	0.000	0.083	0.083	0.000	1.000	1.000	0.000	1.000	0.033	1.000	0.000	1.000	0.500	0.083	0.333
category	1.000	0.000	0.000	0.167	0.167	0.000	0.500	0.500	0.000	0.500	0.067	0.500	0.000	0.500	1.000	0.167	0.667
tropical	0.167	0.000	0.000	1.000	1.000	0.000	0.083	0.083	0.000	0.083	0.400	0.083	0.000	0.083	0.167	1.000	0.250
advanced_combined	0.667	0.000	0.000	0.250	0.250	0.000	0.333	0.333	0.000	0.333	0.100	0.333	0.000	0.333	0.667	0.250	1.000
