file_path	function_name	complexity	lines	args
openhcs/tui/commands.py	execute	6	103	3
openhcs/tui/commands.py	can_execute	1	3	2
openhcs/tui/commands.py	close_dialog	1	3	0
openhcs/tui/commands.py	load_pipeline	5	30	0
openhcs/tui/commands.py	save_pipeline	4	38	0
openhcs/tui/components/dual_step_func_editor.py	__post_init__	2	3	1
openhcs/tui/components/dual_step_func_editor.py	__init__	2	25	3
openhcs/tui/components/dual_step_func_editor.py	_extract_step_data	5	21	1
openhcs/tui/components/dual_step_func_editor.py	_initialize_ui	1	8	1
openhcs/tui/components/dual_step_func_editor.py	_create_header	1	9	1
openhcs/tui/components/dual_step_func_editor.py	_create_toggle_bar	1	19	1
openhcs/tui/components/dual_step_func_editor.py	_create_content_area	2	6	1
openhcs/tui/components/dual_step_func_editor.py	_create_step_editor	1	40	1
openhcs/tui/components/dual_step_func_editor.py	_create_func_editor	1	21	1
openhcs/tui/components/dual_step_func_editor.py	_get_function_display	3	8	2
openhcs/tui/components/dual_step_func_editor.py	_switch_to_step_mode	2	5	1
openhcs/tui/components/dual_step_func_editor.py	_switch_to_func_mode	2	5	1
openhcs/tui/components/dual_step_func_editor.py	_refresh_ui	1	10	1
openhcs/tui/components/dual_step_func_editor.py	_browse_input_dir	2	55	1
openhcs/tui/components/dual_step_func_editor.py	_browse_output_dir	2	55	1
openhcs/tui/components/dual_step_func_editor.py	_toggle_enabled	1	4	1
openhcs/tui/components/dual_step_func_editor.py	_edit_description	1	52	1
openhcs/tui/components/dual_step_func_editor.py	_add_function	2	64	1
openhcs/tui/components/dual_step_func_editor.py	_clear_functions	1	4	1
openhcs/tui/components/dual_step_func_editor.py	_save_changes	4	22	1
openhcs/tui/components/dual_step_func_editor.py	_cancel_editing	1	5	1
openhcs/tui/components/dual_step_func_editor.py	container	1	3	1
openhcs/tui/components/dual_step_func_editor.py	update_data	2	6	2
openhcs/tui/components/dual_step_func_editor.py	get_current_value	1	6	1
openhcs/tui/components/dual_step_func_editor.py	set_change_callback	1	4	2
openhcs/tui/components/dual_step_func_editor.py	reset_to_original	2	5	1
openhcs/tui/components/dual_step_func_editor.py	has_changes	4	26	1
openhcs/tui/components/dual_step_func_editor.py	set_directory	2	7	0
openhcs/tui/components/dual_step_func_editor.py	close_dialog	1	3	0
openhcs/tui/components/dual_step_func_editor.py	save_description	1	6	0
openhcs/tui/components/dual_step_func_editor.py	add_selected_function	2	13	0
