source_file	dependency	entropy_flow
openhcs/tui/canonical_layout.py	prompt_toolkit.layout.dimension	5.12
openhcs/tui/canonical_layout.py	prompt_toolkit.widgets	5.12
openhcs/tui/canonical_layout.py	typing	5.12
openhcs/tui/canonical_layout.py	prompt_toolkit.layout.controls	5.12
openhcs/tui/canonical_layout.py	prompt_toolkit.layout.containers	5.12
openhcs/tui/canonical_layout.py	openhcs.tui.commands.pipeline_step_commands	5.12
openhcs/tui/canonical_layout.py	pathlib	5.12
openhcs/tui/canonical_layout.py	openhcs.tui.pipeline_editor	5.12
openhcs/tui/canonical_layout.py	prompt_toolkit.mouse_events	5.12
openhcs/tui/canonical_layout.py	openhcs.constants.constants	5.12
openhcs/tui/canonical_layout.py	openhcs.tui.commands.pipeline_commands	5.12
openhcs/tui/canonical_layout.py	openhcs.tui.commands	5.12
openhcs/tui/canonical_layout.py	asyncio	5.12
openhcs/tui/canonical_layout.py	logging	5.12
openhcs/tui/canonical_layout.py	openhcs.tui.dual_step_func_editor	5.12
openhcs/tui/canonical_layout.py	openhcs.tui.status_bar	5.12
openhcs/tui/canonical_layout.py	prompt_toolkit.layout	5.12
openhcs/tui/canonical_layout.py	openhcs.tui.menu_bar	5.12
openhcs/tui/canonical_layout.py	openhcs.tui.plate_manager_refactored	5.12
openhcs/tui/canonical_layout.py	prompt_toolkit.application	5.12
openhcs/tui/canonical_layout.py	prompt_toolkit.key_binding	5.12
