framework	basic	information	topology	spectral	unified	persistent	k_theory	ultimate	percolation	random_matrix	gauge	spin_glass	knot	matroid	category	tropical	advanced_combined
basic	1.000	0.000	0.000	0.167	0.167	0.000	1.000	1.000	0.000	1.000	0.091	1.000	0.000	1.000	1.000	0.167	0.500
information	0.000	1.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
topology	0.000	1.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
spectral	0.167	0.000	0.000	1.000	1.000	0.000	0.167	0.167	0.000	0.167	0.545	0.167	0.000	0.167	0.167	1.000	0.333
unified	0.167	0.000	0.000	1.000	1.000	0.000	0.167	0.167	0.000	0.167	0.545	0.167	0.000	0.167	0.167	1.000	0.333
persistent	0.000	1.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
k_theory	1.000	0.000	0.000	0.167	0.167	0.000	1.000	1.000	0.000	1.000	0.091	1.000	0.000	1.000	1.000	0.167	0.500
ultimate	1.000	0.000	0.000	0.167	0.167	0.000	1.000	1.000	0.000	1.000	0.091	1.000	0.000	1.000	1.000	0.167	0.500
percolation	0.000	1.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
random_matrix	1.000	0.000	0.000	0.167	0.167	0.000	1.000	1.000	0.000	1.000	0.091	1.000	0.000	1.000	1.000	0.167	0.500
gauge	0.091	0.000	0.000	0.545	0.545	0.000	0.091	0.091	0.000	0.091	1.000	0.091	0.000	0.091	0.091	0.545	0.182
spin_glass	1.000	0.000	0.000	0.167	0.167	0.000	1.000	1.000	0.000	1.000	0.091	1.000	0.000	1.000	1.000	0.167	0.500
knot	0.000	1.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
matroid	1.000	0.000	0.000	0.167	0.167	0.000	1.000	1.000	0.000	1.000	0.091	1.000	0.000	1.000	1.000	0.167	0.500
category	1.000	0.000	0.000	0.167	0.167	0.000	1.000	1.000	0.000	1.000	0.091	1.000	0.000	1.000	1.000	0.167	0.500
tropical	0.167	0.000	0.000	1.000	1.000	0.000	0.167	0.167	0.000	0.167	0.545	0.167	0.000	0.167	0.167	1.000	0.333
advanced_combined	0.500	0.000	0.000	0.333	0.333	0.000	0.500	0.500	0.000	0.500	0.182	0.500	0.000	0.500	0.500	0.333	1.000
