file_path	function_name	complexity	lines	args
openhcs/tui/commands.py	execute	12	64	3
openhcs/tui/commands.py	can_execute	1	3	2
openhcs/tui/commands.py	__init__	1	10	3
openhcs/tui/commands.py	_validate_parameters	3	6	3
openhcs/tui/commands.py	_get_orchestrators_to_compile	3	8	3
openhcs/tui/commands.py	_compile_single_orchestrator	3	14	3
openhcs/tui/commands.py	_is_orchestrator_ready_for_compilation	2	9	3
openhcs/tui/commands.py	_perform_compilation	1	17	4
openhcs/tui/commands.py	_validate_pipeline_definition	2	9	3
openhcs/tui/commands.py	_handle_compilation_success	1	9	5
openhcs/tui/commands.py	_handle_compilation_error	1	8	5
