source_file	dependency	entropy_flow
openhcs/core/__init__.py	openhcs.core.steps.abstract	57.06
openhcs/core/__init__.py	openhcs.core.context.processing_context	57.06
openhcs/core/config.py	dataclasses	20.12
openhcs/core/config.py	openhcs.constants	20.12
openhcs/core/config.py	pathlib	20.12
openhcs/core/config.py	os	20.12
openhcs/core/config.py	typing	20.12
openhcs/core/config.py	logging	20.12
openhcs/core/utils.py	functools	15.43
openhcs/core/utils.py	time	15.43
openhcs/core/utils.py	collections	15.43
openhcs/core/utils.py	typing	15.43
openhcs/core/utils.py	importlib	15.43
openhcs/core/utils.py	threading	15.43
openhcs/core/utils.py	logging	15.43
openhcs/core/pipeline/funcstep_contract_validator.py	openhcs.core.steps.function_step	22.29
openhcs/core/pipeline/funcstep_contract_validator.py	typing	22.29
openhcs/core/pipeline/funcstep_contract_validator.py	inspect	22.29
openhcs/core/pipeline/funcstep_contract_validator.py	logging	22.29
openhcs/core/pipeline/funcstep_contract_validator.py	openhcs.constants.constants	22.29
openhcs/core/pipeline/__init__.py	openhcs.core.pipeline.step_attribute_stripper	16.50
openhcs/core/pipeline/__init__.py	typing	16.50
openhcs/core/pipeline/__init__.py	openhcs.core.pipeline.funcstep_contract_validator	16.50
openhcs/core/pipeline/__init__.py	openhcs.core.pipeline.pipeline	16.50
openhcs/core/pipeline/__init__.py	openhcs.constants.constants	16.50
openhcs/core/pipeline/__init__.py	openhcs.core.pipeline.path_planner	16.50
openhcs/core/pipeline/__init__.py	openhcs.core.pipeline.materialization_flag_planner	16.50
openhcs/core/pipeline/compiler.py	openhcs.core.steps.function_step	9.42
openhcs/core/pipeline/compiler.py	openhcs.core.context.processing_context	9.42
openhcs/core/pipeline/compiler.py	collections	9.42
openhcs/core/pipeline/compiler.py	pathlib	9.42
openhcs/core/pipeline/compiler.py	typing	9.42
openhcs/core/pipeline/compiler.py	openhcs.core.pipeline.funcstep_contract_validator	9.42
openhcs/core/pipeline/compiler.py	openhcs.core.pipeline.materialization_flag_planner	9.42
openhcs/core/pipeline/compiler.py	openhcs.core.pipeline.gpu_memory_validator	9.42
openhcs/core/pipeline/compiler.py	openhcs.core.steps.abstract	9.42
openhcs/core/pipeline/compiler.py	openhcs.core.pipeline.path_planner	9.42
openhcs/core/pipeline/compiler.py	logging	9.42
openhcs/core/pipeline/compiler.py	openhcs.constants.constants	9.42
openhcs/core/pipeline/step_attribute_stripper.py	logging	55.55
openhcs/core/pipeline/step_attribute_stripper.py	typing	55.55
openhcs/core/pipeline/gpu_memory_validator.py	typing	22.94
openhcs/core/pipeline/gpu_memory_validator.py	openhcs.core.orchestrator.gpu_scheduler	22.94
openhcs/core/pipeline/gpu_memory_validator.py	openhcs.core.utils	22.94
openhcs/core/pipeline/gpu_memory_validator.py	logging	22.94
openhcs/core/pipeline/gpu_memory_validator.py	openhcs.constants.constants	22.94
openhcs/core/pipeline/function_contracts.py	typing	112.22
openhcs/core/pipeline/pipeline_factories.py	pathlib	22.07
openhcs/core/pipeline/pipeline_factories.py	typing	22.07
openhcs/core/pipeline/pipeline_factories.py	openhcs.io.virtual_path_factory	22.07
openhcs/core/pipeline/pipeline_factories.py	openhcs.core.pipeline	22.07
openhcs/core/pipeline/pipeline_factories.py	openhcs.core.steps	22.07
openhcs/core/pipeline/pipeline.py	openhcs.core.pipeline.compiler	40.72
openhcs/core/pipeline/pipeline.py	openhcs.core.pipeline.executor	40.72
openhcs/core/pipeline/pipeline.py	logging	40.72
openhcs/core/pipeline/executor.py	openhcs.core.context.processing_context	23.36
openhcs/core/pipeline/executor.py	typing	23.36
openhcs/core/pipeline/executor.py	openhcs.core.steps.abstract	23.36
openhcs/core/pipeline/executor.py	logging	23.36
openhcs/core/pipeline/executor.py	openhcs.constants.constants	23.36
openhcs/core/pipeline/pipeline_utils.py	typing	59.47
openhcs/core/pipeline/pipeline_utils.py	re	59.47
openhcs/core/pipeline/materialization_flag_planner.py	openhcs.core.steps.function_step	19.04
openhcs/core/pipeline/materialization_flag_planner.py	openhcs.core.context.processing_context	19.04
openhcs/core/pipeline/materialization_flag_planner.py	typing	19.04
openhcs/core/pipeline/materialization_flag_planner.py	openhcs.core.steps.abstract	19.04
openhcs/core/pipeline/materialization_flag_planner.py	logging	19.04
openhcs/core/pipeline/materialization_flag_planner.py	openhcs.constants.constants	19.04
openhcs/core/pipeline/path_planner.py	openhcs.core.steps.function_step	14.43
openhcs/core/pipeline/path_planner.py	openhcs.core.pipeline.pipeline_utils	14.43
openhcs/core/pipeline/path_planner.py	openhcs.core.context.processing_context	14.43
openhcs/core/pipeline/path_planner.py	pathlib	14.43
openhcs/core/pipeline/path_planner.py	typing	14.43
openhcs/core/pipeline/path_planner.py	openhcs.core.steps.abstract	14.43
openhcs/core/pipeline/path_planner.py	logging	14.43
openhcs/core/context/processing_context.py	openhcs.core.config	37.57
openhcs/core/context/processing_context.py	pathlib	37.57
openhcs/core/context/processing_context.py	typing	37.57
openhcs/core/context/__init__.py	processing_context	108.61
openhcs/core/memory/converters.py	typing	37.68
openhcs/core/memory/converters.py	conversion_functions	37.68
openhcs/core/memory/converters.py	openhcs.constants.constants	37.68
openhcs/core/memory/decorators.py	openhcs.constants.constants	37.91
openhcs/core/memory/decorators.py	logging	37.91
openhcs/core/memory/decorators.py	typing	37.91
openhcs/core/memory/__init__.py	decorators	43.04
openhcs/core/memory/__init__.py	wrapper	43.04
openhcs/core/memory/__init__.py	openhcs.constants.constants	43.04
openhcs/core/memory/wrapper.py	typing	22.34
openhcs/core/memory/wrapper.py	exceptions	22.34
openhcs/core/memory/wrapper.py	utils	22.34
openhcs/core/memory/wrapper.py	converters	22.34
openhcs/core/memory/wrapper.py	openhcs.constants.constants	22.34
openhcs/core/memory/gpu_utils.py	openhcs.core.utils	37.48
openhcs/core/memory/gpu_utils.py	logging	37.48
openhcs/core/memory/gpu_utils.py	typing	37.48
openhcs/core/memory/stack_utils.py	typing	19.64
openhcs/core/memory/stack_utils.py	numpy	19.64
openhcs/core/memory/stack_utils.py	openhcs.core.memory	19.64
openhcs/core/memory/stack_utils.py	openhcs.core.utils	19.64
openhcs/core/memory/stack_utils.py	logging	19.64
openhcs/core/memory/stack_utils.py	openhcs.constants.constants	19.64
openhcs/core/memory/utils.py	tensorflow	15.59
openhcs/core/memory/utils.py	typing	15.59
openhcs/core/memory/utils.py	pkg_resources	15.59
openhcs/core/memory/utils.py	exceptions	15.59
openhcs/core/memory/utils.py	importlib	15.59
openhcs/core/memory/utils.py	logging	15.59
openhcs/core/memory/utils.py	openhcs.constants.constants	15.59
openhcs/core/memory/conversion_functions.py	exceptions	27.74
openhcs/core/memory/conversion_functions.py	typing	27.74
openhcs/core/memory/conversion_functions.py	utils	27.74
openhcs/core/memory/conversion_functions.py	openhcs.constants.constants	27.74
openhcs/core/memory/trackers/tf_tracker.py	tensorflow	38.03
openhcs/core/memory/trackers/tf_tracker.py	logging	38.03
openhcs/core/memory/trackers/tf_tracker.py	typing	38.03
openhcs/core/memory/trackers/cupy_tracker.py	cupy	57.28
openhcs/core/memory/trackers/cupy_tracker.py	logging	57.28
openhcs/core/memory/trackers/memory_tracker.py	logging	37.60
openhcs/core/memory/trackers/memory_tracker.py	dataclasses	37.60
openhcs/core/memory/trackers/memory_tracker.py	typing	37.60
openhcs/core/memory/trackers/numpy_tracker.py	psutil	22.55
openhcs/core/memory/trackers/numpy_tracker.py	os	22.55
openhcs/core/memory/trackers/numpy_tracker.py	typing	22.55
openhcs/core/memory/trackers/numpy_tracker.py	numpy	22.55
openhcs/core/memory/trackers/numpy_tracker.py	logging	22.55
openhcs/core/memory/trackers/memory_tracker_registry.py	openhcs.core.memory.loaders.memory_tracker_loader	36.21
openhcs/core/memory/trackers/memory_tracker_registry.py	logging	36.21
openhcs/core/memory/trackers/memory_tracker_registry.py	typing	36.21
openhcs/core/memory/trackers/torch_tracker.py	torch	29.10
openhcs/core/memory/trackers/torch_tracker.py	openhcs.core.utils	29.10
openhcs/core/memory/trackers/torch_tracker.py	logging	29.10
openhcs/core/memory/trackers/torch_tracker.py	typing	29.10
openhcs/core/steps/__init__.py	openhcs.core.steps.function_step	55.86
openhcs/core/steps/__init__.py	openhcs.core.steps.abstract	55.86
openhcs/core/steps/abstract.py	openhcs.core.context.processing_context	23.18
openhcs/core/steps/abstract.py	pathlib	23.18
openhcs/core/steps/abstract.py	typing	23.18
openhcs/core/steps/abstract.py	logging	23.18
openhcs/core/steps/abstract.py	abc	23.18
openhcs/core/steps/function_step.py	time	12.73
openhcs/core/steps/function_step.py	openhcs.core.context.processing_context	12.73
openhcs/core/steps/function_step.py	pathlib	12.73
openhcs/core/steps/function_step.py	typing	12.73
openhcs/core/steps/function_step.py	openhcs.formats.func_arg_prep	12.73
openhcs/core/steps/function_step.py	openhcs.core.steps.abstract	12.73
openhcs/core/steps/function_step.py	openhcs.core.memory.stack_utils	12.73
openhcs/core/steps/function_step.py	logging	12.73
openhcs/core/steps/function_step.py	openhcs.constants.constants	12.73
openhcs/core/steps/specialized/focus_step.py	openhcs.core.steps.function_step	38.89
openhcs/core/steps/specialized/focus_step.py	logging	38.89
openhcs/core/steps/specialized/focus_step.py	openhcs.processing.backends.enhance.dl_edof_unsupervised	38.89
openhcs/core/steps/specialized/__init__.py	openhcs.core.steps.specialized.zflat_step	29.88
openhcs/core/steps/specialized/__init__.py	openhcs.core.steps.specialized.norm_step	29.88
openhcs/core/steps/specialized/__init__.py	openhcs.core.steps.specialized.focus_step	29.88
openhcs/core/steps/specialized/__init__.py	openhcs.core.steps.specialized.composite_step	29.88
openhcs/core/steps/specialized/composite_step.py	openhcs.core.steps.function_step	28.97
openhcs/core/steps/specialized/composite_step.py	openhcs.core.image_processor	28.97
openhcs/core/steps/specialized/composite_step.py	logging	28.97
openhcs/core/steps/specialized/composite_step.py	typing	28.97
openhcs/core/steps/specialized/zflat_step.py	openhcs.core.steps.function_step	40.12
openhcs/core/steps/specialized/zflat_step.py	openhcs.processing.backends.processors.numpy_processor	40.12
openhcs/core/steps/specialized/zflat_step.py	logging	40.12
openhcs/core/steps/specialized/norm_step.py	openhcs.core.steps.function_step	38.23
openhcs/core/steps/specialized/norm_step.py	openhcs.core.image_processor	38.23
openhcs/core/steps/specialized/norm_step.py	logging	38.23
openhcs/core/orchestrator/__init__.py	openhcs.core.orchestrator.gpu_scheduler	59.80
openhcs/core/orchestrator/__init__.py	openhcs.core.orchestrator.orchestrator	59.80
openhcs/core/orchestrator/gpu_scheduler.py	openhcs.core.memory.gpu_utils	16.34
openhcs/core/orchestrator/gpu_scheduler.py	math	16.34
openhcs/core/orchestrator/gpu_scheduler.py	os	16.34
openhcs/core/orchestrator/gpu_scheduler.py	typing	16.34
openhcs/core/orchestrator/gpu_scheduler.py	threading	16.34
openhcs/core/orchestrator/gpu_scheduler.py	openhcs.core.config	16.34
openhcs/core/orchestrator/gpu_scheduler.py	logging	16.34
openhcs/core/orchestrator/orchestrator.py	concurrent.futures	7.01
