metric_category	metric_name	value	interpretation
entropy_distribution	mean	114.081857	Average entropy across files
entropy_distribution	std	4.608174	Standard deviation of entropy
entropy_distribution	skewness	0.381550	Distribution asymmetry
entropy_distribution	kurtosis	1.834194	Distribution tail heaviness
complexity_distribution	mean	15.822222	Average complexity
complexity_distribution	std	22.043683	Complexity variation
complexity_distribution	max	112.000000	Maximum complexity
landscape	entropy_complexity_correlation	-0.364233	Entropy-complexity correlation
landscape	hotspot_density	0.088889	Proportion of high-entropy files
landscape	signature	1201	4-char landscape fingerprint
