file_path	entropy	error_count	lines	complexity	function_count	dependency_count	semantic_fingerprint
openhcs/core/__init__.py	114.12	0	10	1	0	2	211dc17b
openhcs/core/config.py	120.72	0	91	2	1	6	1643212f
openhcs/core/utils.py	107.98	2	282	29	9	7	687e2bf2
openhcs/core/exceptions.py	119.07	0	38	1	0	0	628f647a
openhcs/core/pipeline/funcstep_contract_validator.py	111.45	7	446	53	6	5	41e069e5
openhcs/core/pipeline/__init__.py	115.49	0	122	4	3	7	81cd1cf8
openhcs/core/pipeline/compiler.py	113.07	5	259	32	5	12	d938260b
openhcs/core/pipeline/step_attribute_stripper.py	111.09	0	102	10	1	2	34abb66b
openhcs/core/pipeline/gpu_memory_validator.py	114.70	0	135	11	2	5	5ea0b994
openhcs/core/pipeline/function_contracts.py	112.22	0	96	1	4	1	2a8ae2db
openhcs/core/pipeline/pipeline_factories.py	110.36	0	141	2	2	5	8cf5a9d1
openhcs/core/pipeline/pipeline.py	122.15	0	33	1	0	3	d657c51e
openhcs/core/pipeline/executor.py	116.78	0	63	3	1	5	ccaa208b
openhcs/core/pipeline/pipeline_utils.py	118.94	0	40	8	2	2	e0b7bc8d
openhcs/core/pipeline/materialization_flag_planner.py	114.22	7	167	12	1	6	cfd491a0
openhcs/core/pipeline/path_planner.py	101.02	14	270	60	1	7	c6c28d8e
openhcs/core/context/processing_context.py	112.71	0	155	16	9	3	1f1bde99
openhcs/core/context/__init__.py	108.61	0	9	1	0	1	7bc118fd
openhcs/core/memory/converters.py	113.04	6	145	28	3	3	d7598572
openhcs/core/memory/decorators.py	113.72	0	252	14	7	3	2eb7ccff
openhcs/core/memory/__init__.py	129.13	0	34	1	0	3	4a73f212
openhcs/core/memory/wrapper.py	111.69	0	361	19	13	5	152d0489
openhcs/core/memory/gpu_utils.py	112.43	0	137	14	4	3	a16bf9e7
openhcs/core/memory/stack_utils.py	117.82	3	276	44	6	6	b562262d
openhcs/core/memory/utils.py	109.15	2	301	40	6	7	28a8954e
openhcs/core/memory/conversion_functions.py	110.97	2	1054	112	24	4	903d2475
openhcs/core/memory/exceptions.py	108.28	0	45	1	1	0	d57e0d70
openhcs/core/memory/trackers/tf_tracker.py	114.09	3	118	14	2	3	9bb95e16
openhcs/core/memory/trackers/cupy_tracker.py	114.56	1	70	6	2	2	7a572f35
openhcs/core/memory/trackers/memory_tracker.py	112.81	0	69	1	2	3	bea20e31
openhcs/core/memory/trackers/numpy_tracker.py	112.73	0	142	8	4	5	3f11b349
openhcs/core/memory/trackers/memory_tracker_registry.py	108.63	0	167	8	4	3	b73ceabc
openhcs/core/memory/trackers/torch_tracker.py	116.38	1	97	13	2	4	f07f44fb
openhcs/core/steps/__init__.py	111.72	0	24	1	0	2	e12d4337
openhcs/core/steps/abstract.py	115.90	0	135	3	4	5	84ff3fac
openhcs/core/steps/function_step.py	114.56	9	302	44	8	9	c48fa028
openhcs/core/steps/specialized/focus_step.py	116.67	0	57	1	1	3	787f2b74
openhcs/core/steps/specialized/__init__.py	119.54	0	33	1	0	4	90886523
openhcs/core/steps/specialized/composite_step.py	115.90	0	63	1	1	4	e6d8cae1
openhcs/core/steps/specialized/zflat_step.py	120.37	0	45	3	1	3	06738b72
openhcs/core/steps/specialized/norm_step.py	114.68	0	77	4	1	3	7285d7a5
openhcs/core/orchestrator/__init__.py	119.59	0	44	1	0	2	ad263f4a
openhcs/core/orchestrator/gpu_scheduler.py	114.35	1	315	23	7	7	9126b7b6
openhcs/core/orchestrator/orchestrator.py	112.10	11	427	59	11	16	0985f9d7
openhcs/core/validation/__init__.py	108.19	0	5	1	0	0	ddeb46ae
