framework_level	framework_name	issues_found	tier	mathematical_weight	weighted_score	status
1	basic	45	Basic	1.0	45.0	HIGH
2	information	101	Basic	1.2	121.2	CRITICAL
3	topology	4	Basic	1.3	5.2	LOW
4	spectral	8	Basic	1.4	11.2	MEDIUM
5	unified	113	Basic	1.5	169.5	CRITICAL
6	persistent	4	Ultimate	2.0	8.0	LOW
7	k_theory	1	Ultimate	1.8	1.8	LOW
8	ultimate	5	Ultimate	2.2	11.0	LOW
9	percolation	4	Advanced	1.6	6.4	LOW
10	random_matrix	19	Advanced	2.1	39.9	MEDIUM
11	gauge	0	Advanced	1.9	0.0	LOW
12	spin_glass	10	Advanced	1.7	17.0	MEDIUM
13	knot	0	Next-Gen	2.3	0.0	LOW
14	matroid	2	Next-Gen	1.8	3.6	LOW
15	category	12	Next-Gen	2.0	24.0	MEDIUM
16	tropical	113	Next-Gen	1.9	214.7	CRITICAL
17	advanced_combined	27	Next-Gen	2.5	67.5	HIGH
