framework	basic	information	topology	spectral	unified	persistent	k_theory	ultimate	percolation	random_matrix	gauge	spin_glass	knot	matroid	category	tropical	advanced_combined
basic	1.000	0.446	0.089	0.178	0.398	0.089	0.022	0.111	0.089	0.422	0.000	0.222	0.000	0.044	0.267	0.398	0.600
information	0.446	1.000	0.040	0.079	0.894	0.040	0.010	0.050	0.040	0.188	0.000	0.099	0.000	0.020	0.119	0.894	0.267
topology	0.089	0.040	1.000	0.500	0.035	1.000	0.250	0.800	1.000	0.211	0.000	0.400	0.000	0.500	0.333	0.035	0.148
spectral	0.178	0.079	0.500	1.000	0.071	0.500	0.125	0.625	0.500	0.421	0.000	0.800	0.000	0.250	0.667	0.071	0.296
unified	0.398	0.894	0.035	0.071	1.000	0.035	0.009	0.044	0.035	0.168	0.000	0.088	0.000	0.018	0.106	1.000	0.239
persistent	0.089	0.040	1.000	0.500	0.035	1.000	0.250	0.800	1.000	0.211	0.000	0.400	0.000	0.500	0.333	0.035	0.148
k_theory	0.022	0.010	0.250	0.125	0.009	0.250	1.000	0.200	0.250	0.053	0.000	0.100	0.000	0.500	0.083	0.009	0.037
ultimate	0.111	0.050	0.800	0.625	0.044	0.800	0.200	1.000	0.800	0.263	0.000	0.500	0.000	0.400	0.417	0.044	0.185
percolation	0.089	0.040	1.000	0.500	0.035	1.000	0.250	0.800	1.000	0.211	0.000	0.400	0.000	0.500	0.333	0.035	0.148
random_matrix	0.422	0.188	0.211	0.421	0.168	0.211	0.053	0.263	0.211	1.000	0.000	0.526	0.000	0.105	0.632	0.168	0.704
gauge	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000
spin_glass	0.222	0.099	0.400	0.800	0.088	0.400	0.100	0.500	0.400	0.526	0.000	1.000	0.000	0.200	0.833	0.088	0.370
knot	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000
matroid	0.044	0.020	0.500	0.250	0.018	0.500	0.500	0.400	0.500	0.105	0.000	0.200	0.000	1.000	0.167	0.018	0.074
category	0.267	0.119	0.333	0.667	0.106	0.333	0.083	0.417	0.333	0.632	0.000	0.833	0.000	0.167	1.000	0.106	0.444
tropical	0.398	0.894	0.035	0.071	1.000	0.035	0.009	0.044	0.035	0.168	0.000	0.088	0.000	0.018	0.106	1.000	0.239
advanced_combined	0.600	0.267	0.148	0.296	0.239	0.148	0.037	0.185	0.148	0.704	0.000	0.370	0.000	0.074	0.444	0.239	1.000
