file_path	priority_score	entropy_reduction_potential	complexity_reduction_potential	risk_assessment	mathematical_guidance	cyclomatic_reduction	function_extraction_potential
openhcs/core/memory/conversion_functions.py	8.818	1.000	22.195	MEDIUM	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	33.6	2.4
openhcs/core/orchestrator/orchestrator.py	4.925	1.000	22.420	MEDIUM	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	17.7	1.1
openhcs/core/pipeline/funcstep_contract_validator.py	4.656	1.000	22.290	LOW	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	15.9	0.6
openhcs/core/pipeline/path_planner.py	4.550	1.000	20.205	LOW	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	18.0	0.1
openhcs/core/steps/function_step.py	3.950	1.000	22.912	LOW	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	13.2	0.8
openhcs/core/memory/stack_utils.py	3.930	1.000	23.565	LOW	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	13.2	0.6
openhcs/core/memory/utils.py	3.693	1.000	21.830	LOW	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	12.0	0.6
openhcs/core/pipeline/compiler.py	3.249	1.000	22.614	LOW	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	9.6	0.5
openhcs/core/utils.py	3.094	1.000	21.596	LOW	KNOT_THEORY: Untangle dependency crossings	8.7	0.9
openhcs/core/orchestrator/gpu_scheduler.py	2.923	1.000	22.869	LOW	KNOT_THEORY: Untangle dependency crossings	6.9	0.7
openhcs/core/memory/converters.py	2.820	1.000	22.608	LOW	KNOT_THEORY: Untangle dependency crossings	8.4	0.3
openhcs/core/memory/wrapper.py	2.789	1.000	22.337	LOW	KNOT_THEORY: Untangle dependency crossings	5.7	1.3
openhcs/core/memory/decorators.py	2.341	1.000	22.744	LOW	KNOT_THEORY: Untangle dependency crossings	4.2	0.7
openhcs/core/context/processing_context.py	2.237	1.000	22.543	LOW	KNOT_THEORY: Untangle dependency crossings	4.8	0.9
openhcs/core/memory/gpu_utils.py	2.098	1.000	22.485	LOW	KNOT_THEORY: Untangle dependency crossings	4.2	0.4
openhcs/core/memory/trackers/tf_tracker.py	2.077	0.950	22.818	LOW	KNOT_THEORY: Untangle dependency crossings	4.2	0.2
openhcs/core/pipeline/materialization_flag_planner.py	2.076	0.861	22.844	LOW	KNOT_THEORY: Untangle dependency crossings	3.6	0.1
openhcs/core/memory/trackers/torch_tracker.py	2.008	0.942	23.276	LOW	KNOT_THEORY: Untangle dependency crossings	3.9	0.2
openhcs/core/pipeline/gpu_memory_validator.py	1.967	0.893	22.940	LOW	KNOT_THEORY: Untangle dependency crossings	3.3	0.2
openhcs/core/memory/trackers/memory_tracker_registry.py	1.820	0.903	21.726	LOW	KNOT_THEORY: Untangle dependency crossings	2.4	0.4
openhcs/core/pipeline/step_attribute_stripper.py	1.815	0.805	22.219	LOW	KNOT_THEORY: Untangle dependency crossings	3.0	0.1
openhcs/core/memory/trackers/numpy_tracker.py	1.811	0.924	22.545	LOW	KNOT_THEORY: Untangle dependency crossings	2.4	0.4
openhcs/core/pipeline/pipeline_utils.py	1.669	0.855	23.788	LOW	KNOT_THEORY: Untangle dependency crossings	2.4	0.2
openhcs/core/pipeline/__init__.py	1.599	0.807	23.097	LOW	KNOT_THEORY: Untangle dependency crossings	1.2	0.3
openhcs/core/memory/trackers/cupy_tracker.py	1.586	0.793	22.912	LOW	KNOT_THEORY: Untangle dependency crossings	1.8	0.2
openhcs/core/steps/abstract.py	1.579	0.839	23.180	LOW	KNOT_THEORY: Untangle dependency crossings	0.9	0.4
openhcs/core/steps/specialized/norm_step.py	1.501	0.703	22.936	LOW	KNOT_THEORY: Untangle dependency crossings	1.2	0.1
openhcs/core/config.py	1.489	0.694	24.143	LOW	KNOT_THEORY: Untangle dependency crossings	0.6	0.1
openhcs/core/pipeline/pipeline_factories.py	1.486	0.692	22.072	LOW	KNOT_THEORY: Untangle dependency crossings	0.6	0.2
openhcs/core/pipeline/executor.py	1.444	0.694	23.356	LOW	KNOT_THEORY: Untangle dependency crossings	0.9	0.1
openhcs/core/steps/specialized/zflat_step.py	1.444	0.712	24.074	LOW	KNOT_THEORY: Untangle dependency crossings	0.9	0.1
openhcs/core/memory/__init__.py	1.409	0.666	25.827	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/core/pipeline/function_contracts.py	1.364	0.781	22.443	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.4
openhcs/core/pipeline/pipeline.py	1.338	0.631	24.431	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/core/steps/specialized/composite_step.py	1.335	0.649	23.179	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.1
openhcs/core/orchestrator/__init__.py	1.334	0.618	23.919	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/core/steps/specialized/focus_step.py	1.331	0.653	23.335	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.1
openhcs/core/exceptions.py	1.317	0.615	23.813	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/core/memory/trackers/memory_tracker.py	1.316	0.684	22.561	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.2
openhcs/core/steps/specialized/__init__.py	1.311	0.618	23.907	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/core/memory/exceptions.py	1.223	0.611	21.656	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.1
openhcs/core/steps/__init__.py	1.215	0.579	22.343	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/core/__init__.py	1.211	0.591	22.825	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/core/context/__init__.py	1.154	0.563	21.723	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/core/validation/__init__.py	1.142	0.561	21.638	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
