file_path	semantic_profile	entropy_char	complexity_char	function_count_char	dependency_char	risk_char	priority_char	coupling_char	cohesion_char
openhcs/core/__init__.py	4A02M3LL	4	A	0	2	M	3	L	L
openhcs/core/config.py	4A16M2LH	4	A	1	6	M	2	L	H
openhcs/core/utils.py	3D97H3LH	3	D	9	7	H	3	L	H
openhcs/core/exceptions.py	4A00M3LL	4	A	0	0	M	3	L	L
openhcs/core/pipeline/funcstep_contract_validator.py	4F65H2LH	4	F	6	5	H	2	L	H
openhcs/core/pipeline/__init__.py	4A37M3LH	4	A	3	7	M	3	L	H
openhcs/core/pipeline/compiler.py	4E59H3MH	4	E	5	9	H	3	M	H
openhcs/core/pipeline/step_attribute_stripper.py	4C12M3LL	4	C	1	2	M	3	L	L
openhcs/core/pipeline/gpu_memory_validator.py	4C25M3LH	4	C	2	5	M	3	L	H
openhcs/core/pipeline/function_contracts.py	4A41M3LL	4	A	4	1	M	3	L	L
openhcs/core/pipeline/pipeline_factories.py	4A25M3LH	4	A	2	5	M	3	L	H
openhcs/core/pipeline/pipeline.py	4A03M2LL	4	A	0	3	M	2	L	L
openhcs/core/pipeline/executor.py	4A15M3LH	4	A	1	5	M	3	L	H
openhcs/core/pipeline/pipeline_utils.py	4B22M3LH	4	B	2	2	M	3	L	H
openhcs/core/pipeline/materialization_flag_planner.py	4C16M3LL	4	C	1	6	M	3	L	L
openhcs/core/pipeline/path_planner.py	3F17H3LL	3	F	1	7	H	3	L	L
openhcs/core/context/processing_context.py	4C93M3LL	4	C	9	3	M	3	L	L
openhcs/core/context/__init__.py	3A01M3LL	3	A	0	1	M	3	L	L
openhcs/core/memory/converters.py	4D33H3LH	4	D	3	3	H	3	L	H
openhcs/core/memory/decorators.py	4C73M3LH	4	C	7	3	M	3	L	H
openhcs/core/memory/__init__.py	4A03M2LL	4	A	0	3	M	2	L	L
openhcs/core/memory/wrapper.py	4C95H2LH	4	C	9	5	H	2	L	H
openhcs/core/memory/gpu_utils.py	4C43M3LH	4	C	4	3	M	3	L	H
openhcs/core/memory/stack_utils.py	4E66H3LH	4	E	6	6	H	3	L	H
openhcs/core/memory/utils.py	3E67H2LH	3	E	6	7	H	2	L	H
openhcs/core/memory/conversion_functions.py	4F94H2LH	4	F	9	4	H	2	L	H
openhcs/core/memory/exceptions.py	3A10M3LH	3	A	1	0	M	3	L	H
openhcs/core/memory/trackers/tf_tracker.py	4C23M3LH	4	C	2	3	M	3	L	H
openhcs/core/memory/trackers/cupy_tracker.py	4B22M3LH	4	B	2	2	M	3	L	H
openhcs/core/memory/trackers/memory_tracker.py	4A23M3LH	4	A	2	3	M	3	L	H
openhcs/core/memory/trackers/numpy_tracker.py	4B45M3LH	4	B	4	5	M	3	L	H
openhcs/core/memory/trackers/memory_tracker_registry.py	3B43M3LH	3	B	4	3	M	3	L	H
openhcs/core/memory/trackers/torch_tracker.py	4C24M3LH	4	C	2	4	M	3	L	H
openhcs/core/steps/__init__.py	4A02M3LL	4	A	0	2	M	3	L	L
openhcs/core/steps/abstract.py	4A45M3LH	4	A	4	5	M	3	L	H
openhcs/core/steps/function_step.py	4E89H2MH	4	E	8	9	H	2	M	H
openhcs/core/steps/specialized/focus_step.py	4A13M3LH	4	A	1	3	M	3	L	H
openhcs/core/steps/specialized/__init__.py	4A04M3LL	4	A	0	4	M	3	L	L
openhcs/core/steps/specialized/composite_step.py	4A14M3LH	4	A	1	4	M	3	L	H
openhcs/core/steps/specialized/zflat_step.py	4A13M2LH	4	A	1	3	M	2	L	H
openhcs/core/steps/specialized/norm_step.py	4A13M3LH	4	A	1	3	M	3	L	H
openhcs/core/orchestrator/__init__.py	4A02M3LL	4	A	0	2	M	3	L	L
openhcs/core/orchestrator/gpu_scheduler.py	4D77H2LH	4	D	7	7	H	2	L	H
openhcs/core/orchestrator/orchestrator.py	4F99H2HH	4	F	9	9	H	2	H	H
openhcs/core/validation/__init__.py	3A00M3LL	3	A	0	0	M	3	L	L
