file_path	function_name	complexity	lines	args
openhcs/tui/function_pattern_editor.py	get_function_info	4	37	1
openhcs/tui/function_pattern_editor.py	__init__	1	53	4
openhcs/tui/function_pattern_editor.py	_get_text_fragments	2	9	1
openhcs/tui/function_pattern_editor.py	container	1	3	1
openhcs/tui/function_pattern_editor.py	_extract_pattern	2	5	2
openhcs/tui/function_pattern_editor.py	_clone_pattern	4	10	2
openhcs/tui/function_pattern_editor.py	_clone_list_item	2	6	2
openhcs/tui/function_pattern_editor.py	_get_initial_func_for_param_editor	2	7	1
openhcs/tui/function_pattern_editor.py	_handle_parameter_change	8	30	4
openhcs/tui/function_pattern_editor.py	_handle_reset_parameter	6	22	3
openhcs/tui/function_pattern_editor.py	_handle_reset_all_parameters	5	24	2
openhcs/tui/function_pattern_editor.py	_create_header	1	26	1
openhcs/tui/function_pattern_editor.py	_notify_change	2	4	1
openhcs/tui/function_pattern_editor.py	get_pattern	3	12	1
openhcs/tui/function_pattern_editor.py	_refresh_key_selector	5	56	1
openhcs/tui/function_pattern_editor.py	_refresh_function_list	1	5	1
openhcs/tui/function_pattern_editor.py	_build_function_list	3	18	2
openhcs/tui/function_pattern_editor.py	_create_function_item	1	48	4
openhcs/tui/function_pattern_editor.py	_get_current_functions	5	22	1
openhcs/tui/function_pattern_editor.py	_extract_func_and_kwargs	3	8	2
openhcs/tui/function_pattern_editor.py	_create_function_dropdown	1	26	3
openhcs/tui/function_pattern_editor.py	_get_functions_by_backend	5	19	1
openhcs/tui/function_pattern_editor.py	_create_dropdown_options	2	12	2
openhcs/tui/function_pattern_editor.py	_create_configured_dropdown	2	15	4
openhcs/tui/function_pattern_editor.py	_switch_key	4	24	2
openhcs/tui/function_pattern_editor.py	_convert_list_to_dict_pattern	2	9	1
openhcs/tui/function_pattern_editor.py	_add_key	2	21	1
openhcs/tui/function_pattern_editor.py	_remove_key	5	31	1
openhcs/tui/function_pattern_editor.py	_edit_in_vim	2	21	1
openhcs/tui/function_pattern_editor.py	_show_error	1	8	2
openhcs/tui/function_pattern_editor.py	_update_function	3	26	3
openhcs/tui/function_pattern_editor.py	_update_pattern_functions	4	19	2
openhcs/tui/function_pattern_editor.py	_create_parameter_editor	3	30	4
openhcs/tui/function_pattern_editor.py	_create_parameter_field	2	22	7
openhcs/tui/function_pattern_editor.py	_move_function_up	2	8	2
openhcs/tui/function_pattern_editor.py	_move_function_down	2	8	2
openhcs/tui/function_pattern_editor.py	_delete_function	2	8	2
openhcs/tui/function_pattern_editor.py	_add_function	4	19	1
openhcs/tui/function_pattern_editor.py	_validate_pattern	3	21	1
openhcs/tui/function_pattern_editor.py	_load_func_pattern_from_file_handler	6	44	1
openhcs/tui/function_pattern_editor.py	_save_func_pattern_as_file_handler	4	27	1
openhcs/tui/function_pattern_editor.py	on_key_change	1	2	1
openhcs/tui/function_pattern_editor.py	on_selection_change	2	4	1
