file_path	function_name	complexity	lines	args
openhcs/tui/dialogs/global_settings_editor.py	__init__	1	15	3
openhcs/tui/dialogs/global_settings_editor.py	_get_text_fragments	2	9	1
openhcs/tui/dialogs/global_settings_editor.py	_get_config_value	3	10	2
openhcs/tui/dialogs/global_settings_editor.py	_set_config_value	5	20	4
openhcs/tui/dialogs/global_settings_editor.py	_on_setting_changed	7	32	1
openhcs/tui/dialogs/global_settings_editor.py	_get_field_type_by_path	8	36	2
openhcs/tui/dialogs/global_settings_editor.py	_build_dialog_rows_for_model	16	83	4
openhcs/tui/dialogs/global_settings_editor.py	_build_dialog	1	22	1
openhcs/tui/dialogs/global_settings_editor.py	_get_field_value_from_widget	14	30	3
openhcs/tui/dialogs/global_settings_editor.py	_save_settings	8	41	1
openhcs/tui/dialogs/global_settings_editor.py	_cancel	3	6	1
openhcs/tui/dialogs/global_settings_editor.py	show	8	33	1
openhcs/tui/dialogs/global_settings_editor.py	create_checkbox_mouse_handler	1	6	1
openhcs/tui/dialogs/global_settings_editor.py	new_mouse_handler	1	4	1
