source_file	dependency	entropy_flow
openhcs/io/filemanager.py	pathlib	12.13
openhcs/io/filemanager.py	traceback	12.13
openhcs/io/filemanager.py	openhcs.validation	12.13
openhcs/io/filemanager.py	typing	12.13
openhcs/io/filemanager.py	openhcs.constants.constants	12.13
openhcs/io/filemanager.py	openhcs.io.base	12.13
openhcs/io/filemanager.py	openhcs.io.exceptions	12.13
openhcs/io/filemanager.py	logging	12.13
openhcs/io/filemanager.py	os	12.13
openhcs/io/__init__.py	memory	22.93
openhcs/io/__init__.py	base	22.93
openhcs/io/__init__.py	filemanager	22.93
openhcs/io/__init__.py	disk	22.93
openhcs/io/__init__.py	zarr	22.93
openhcs/io/memory.py	pathlib	15.43
openhcs/io/memory.py	fnmatch	15.43
openhcs/io/memory.py	typing	15.43
openhcs/io/memory.py	copy	15.43
openhcs/io/memory.py	openhcs.io.base	15.43
openhcs/io/memory.py	logging	15.43
openhcs/io/memory.py	os	15.43
openhcs/io/zarr.py	pathlib	11.87
openhcs/io/zarr.py	fnmatch	11.87
openhcs/io/zarr.py	zarr.storage	11.87
openhcs/io/zarr.py	typing	11.87
openhcs/io/zarr.py	shutil	11.87
openhcs/io/zarr.py	openhcs.io.base	11.87
openhcs/io/zarr.py	zarr	11.87
openhcs/io/zarr.py	logging	11.87
openhcs/io/zarr.py	os	11.87
openhcs/io/base.py	pathlib	11.82
openhcs/io/base.py	typing	11.82
openhcs/io/base.py	openhcs.io.zarr	11.82
openhcs/io/base.py	functools	11.82
openhcs/io/base.py	openhcs.io.disk	11.82
openhcs/io/base.py	openhcs.constants.constants	11.82
openhcs/io/base.py	abc	11.82
openhcs/io/base.py	logging	11.82
openhcs/io/base.py	openhcs.io.memory	11.82
openhcs/io/disk.py	pathlib	11.93
openhcs/io/disk.py	fnmatch	11.93
openhcs/io/disk.py	typing	11.93
openhcs/io/disk.py	numpy	11.93
openhcs/io/disk.py	openhcs.constants.constants	11.93
openhcs/io/disk.py	shutil	11.93
openhcs/io/disk.py	openhcs.io.base	11.93
openhcs/io/disk.py	logging	11.93
openhcs/io/disk.py	os	11.93
