framework_level	framework_name	issues_found	tier	mathematical_weight	weighted_score	status
1	basic	7	Basic	1.0	7.0	MEDIUM
2	information	11	Basic	1.2	13.2	MEDIUM
3	topology	0	Basic	1.3	0.0	LOW
4	spectral	4	Basic	1.4	5.6	LOW
5	unified	15	Basic	1.5	22.5	MEDIUM
6	persistent	0	Ultimate	2.0	0.0	LOW
7	k_theory	2	Ultimate	1.8	3.6	LOW
8	ultimate	2	Ultimate	2.2	4.4	LOW
9	percolation	0	Advanced	1.6	0.0	LOW
10	random_matrix	4	Advanced	2.1	8.4	LOW
11	gauge	0	Advanced	1.9	0.0	LOW
12	spin_glass	4	Advanced	1.7	6.8	LOW
13	knot	0	Next-Gen	2.3	0.0	LOW
14	matroid	0	Next-Gen	1.8	0.0	LOW
15	category	5	Next-Gen	2.0	10.0	LOW
16	tropical	15	Next-Gen	1.9	28.5	MEDIUM
17	advanced_combined	10	Next-Gen	2.5	25.0	MEDIUM
