framework	basic	information	topology	spectral	unified	persistent	k_theory	ultimate	percolation	random_matrix	gauge	spin_glass	knot	matroid	category	tropical	advanced_combined
basic	1.000	0.636	0.000	0.571	0.467	0.000	0.286	0.286	0.000	0.571	0.000	0.571	0.000	0.000	0.714	0.467	0.700
information	0.636	1.000	0.000	0.364	0.733	0.000	0.182	0.182	0.000	0.364	0.000	0.364	0.000	0.000	0.455	0.733	0.909
topology	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	1.000	0.000	1.000	1.000	0.000	0.000	0.000
spectral	0.571	0.364	0.000	1.000	0.267	0.000	0.500	0.500	0.000	1.000	0.000	1.000	0.000	0.000	0.800	0.267	0.400
unified	0.467	0.733	0.000	0.267	1.000	0.000	0.133	0.133	0.000	0.267	0.000	0.267	0.000	0.000	0.333	1.000	0.667
persistent	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	1.000	0.000	1.000	1.000	0.000	0.000	0.000
k_theory	0.286	0.182	0.000	0.500	0.133	0.000	1.000	1.000	0.000	0.500	0.000	0.500	0.000	0.000	0.400	0.133	0.200
ultimate	0.286	0.182	0.000	0.500	0.133	0.000	1.000	1.000	0.000	0.500	0.000	0.500	0.000	0.000	0.400	0.133	0.200
percolation	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	1.000	0.000	1.000	1.000	0.000	0.000	0.000
random_matrix	0.571	0.364	0.000	1.000	0.267	0.000	0.500	0.500	0.000	1.000	0.000	1.000	0.000	0.000	0.800	0.267	0.400
gauge	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	1.000	0.000	1.000	1.000	0.000	0.000	0.000
spin_glass	0.571	0.364	0.000	1.000	0.267	0.000	0.500	0.500	0.000	1.000	0.000	1.000	0.000	0.000	0.800	0.267	0.400
knot	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	1.000	0.000	1.000	1.000	0.000	0.000	0.000
matroid	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	1.000	0.000	1.000	1.000	0.000	0.000	0.000
category	0.714	0.455	0.000	0.800	0.333	0.000	0.400	0.400	0.000	0.800	0.000	0.800	0.000	0.000	1.000	0.333	0.500
tropical	0.467	0.733	0.000	0.267	1.000	0.000	0.133	0.133	0.000	0.267	0.000	0.267	0.000	0.000	0.333	1.000	0.667
advanced_combined	0.700	0.909	0.000	0.400	0.667	0.000	0.200	0.200	0.000	0.400	0.000	0.400	0.000	0.000	0.500	0.667	1.000
