file_path	function_name	complexity	lines	args
openhcs/tui/menu_bar.py	__init__	1	44	3
openhcs/tui/menu_bar.py	__aenter__	2	15	1
openhcs/tui/menu_bar.py	__aexit__	2	9	4
openhcs/tui/menu_bar.py	validate_layout_container	3	15	1
openhcs/tui/menu_bar.py	validate_menu_item	8	30	1
openhcs/tui/menu_bar.py	validate_menu_structure	9	30	1
openhcs/tui/menu_bar.py	is_enabled	2	5	1
openhcs/tui/menu_bar.py	is_checked	2	5	1
openhcs/tui/menu_bar.py	set_checked	2	4	2
openhcs/tui/menu_bar.py	from_dict	4	51	3
openhcs/tui/menu_bar.py	_create_handler_map	1	39	1
openhcs/tui/menu_bar.py	_create_condition_map	1	23	1
openhcs/tui/menu_bar.py	_get_required_state	2	16	2
openhcs/tui/menu_bar.py	_load_menu_structure	11	60	1
openhcs/tui/menu_bar.py	_create_menu_labels	3	36	1
openhcs/tui/menu_bar.py	_create_submenu_float	1	18	1
openhcs/tui/menu_bar.py	_create_key_bindings	3	63	1
openhcs/tui/menu_bar.py	_activate_menu	3	37	2
openhcs/tui/menu_bar.py	_close_menu	2	19	1
openhcs/tui/menu_bar.py	_navigate_menu	2	22	2
openhcs/tui/menu_bar.py	_navigate_submenu	7	41	2
openhcs/tui/menu_bar.py	_select_current_item	2	13	1
openhcs/tui/menu_bar.py	_create_submenu_container	9	59	2
openhcs/tui/menu_bar.py	_handle_menu_item	3	17	2
openhcs/tui/menu_bar.py	_on_new_pipeline	2	5	1
openhcs/tui/menu_bar.py	_on_open_pipeline	2	5	1
openhcs/tui/menu_bar.py	_on_save_pipeline	9	59	1
openhcs/tui/menu_bar.py	_on_save_pipeline_as	2	5	1
openhcs/tui/menu_bar.py	_on_exit	1	3	1
openhcs/tui/menu_bar.py	_on_add_step	2	5	1
openhcs/tui/menu_bar.py	_on_edit_step	5	37	1
openhcs/tui/menu_bar.py	_on_remove_step	10	46	1
openhcs/tui/menu_bar.py	_on_move_step_up	2	5	1
openhcs/tui/menu_bar.py	_on_move_step_down	2	5	1
openhcs/tui/menu_bar.py	_on_toggle_log_drawer	1	3	1
openhcs/tui/menu_bar.py	_on_toggle_vim_mode	1	3	1
openhcs/tui/menu_bar.py	_on_set_theme	1	8	2
openhcs/tui/menu_bar.py	_on_pre_compile	1	3	1
openhcs/tui/menu_bar.py	_on_compile	1	3	1
openhcs/tui/menu_bar.py	_on_run	1	3	1
openhcs/tui/menu_bar.py	_on_test	2	21	1
openhcs/tui/menu_bar.py	_on_operation_status_changed	1	9	2
openhcs/tui/menu_bar.py	_on_plate_selected	1	9	2
openhcs/tui/menu_bar.py	_on_is_compiled_changed	1	9	2
openhcs/tui/menu_bar.py	shutdown	1	12	1
openhcs/tui/menu_bar.py	__pt_container__	1	3	1
openhcs/tui/menu_bar.py	get_children	1	2	1
openhcs/tui/menu_bar.py	preferred_width	1	2	2
openhcs/tui/menu_bar.py	preferred_height	1	2	3
openhcs/tui/menu_bar.py	reset	1	2	1
openhcs/tui/menu_bar.py	write_to_screen	1	4	7
openhcs/tui/menu_bar.py	mouse_handler	6	17	2
openhcs/tui/menu_bar.py	_	1	2	1
openhcs/tui/menu_bar.py	create_mouse_handler	3	8	1
openhcs/tui/menu_bar.py	create_handler	1	4	1
openhcs/tui/menu_bar.py	menu_mouse_handler	2	5	1
openhcs/tui/menu_bar.py	handler	1	2	1
openhcs/tui/menu_bar.py	item_mouse_handler	3	6	1
