framework_level	framework_name	issues_found	tier	mathematical_weight	weighted_score	status
1	basic	1	Basic	1.0	1.0	LOW
2	information	1	Basic	1.2	1.2	LOW
3	topology	0	Basic	1.3	0.0	LOW
4	spectral	6	Basic	1.4	8.4	MEDIUM
5	unified	7	Basic	1.5	10.5	MEDIUM
6	persistent	0	Ultimate	2.0	0.0	LOW
7	k_theory	1	Ultimate	1.8	1.8	LOW
8	ultimate	1	Ultimate	2.2	2.2	LOW
9	percolation	0	Advanced	1.6	0.0	LOW
10	random_matrix	1	Advanced	2.1	2.1	LOW
11	gauge	7	Advanced	1.9	13.3	MEDIUM
12	spin_glass	1	Advanced	1.7	1.7	LOW
13	knot	0	Next-Gen	2.3	0.0	LOW
14	matroid	1	Next-Gen	1.8	1.8	LOW
15	category	1	Next-Gen	2.0	2.0	LOW
16	tropical	7	Next-Gen	1.9	13.3	MEDIUM
17	advanced_combined	2	Next-Gen	2.5	5.0	LOW
