file_path	function_name	complexity	lines	args
openhcs/tui/pipeline_editor.py	__init__	1	31	3
openhcs/tui/pipeline_editor.py	_get_text_fragments	2	9	1
openhcs/tui/pipeline_editor.py	create	1	21	3
openhcs/tui/pipeline_editor.py	setup	6	85	1
openhcs/tui/pipeline_editor.py	_get_selected_steps_for_action	2	5	1
openhcs/tui/pipeline_editor.py	container	1	3	1
openhcs/tui/pipeline_editor.py	get_buttons_container	2	20	1
openhcs/tui/pipeline_editor.py	_build_step_items_container	7	39	1
openhcs/tui/pipeline_editor.py	_get_step_display_text	2	17	3
openhcs/tui/pipeline_editor.py	_handle_item_select	2	5	2
openhcs/tui/pipeline_editor.py	_handle_item_move_up	2	5	2
openhcs/tui/pipeline_editor.py	_handle_item_move_down	2	5	2
openhcs/tui/pipeline_editor.py	_get_status_icon	2	26	2
openhcs/tui/pipeline_editor.py	_get_function_name	7	31	2
openhcs/tui/pipeline_editor.py	_handle_edit_step_request	8	38	2
openhcs/tui/pipeline_editor.py	_create_key_bindings	4	48	1
openhcs/tui/pipeline_editor.py	_update_selection	3	16	1
openhcs/tui/pipeline_editor.py	_select_step	2	11	2
openhcs/tui/pipeline_editor.py	_save_pipeline	7	45	1
openhcs/tui/pipeline_editor.py	_handle_step_pattern_saved	4	17	2
openhcs/tui/pipeline_editor.py	_on_plate_selected	2	12	2
openhcs/tui/pipeline_editor.py	_load_steps_for_plate	8	68	2
openhcs/tui/pipeline_editor.py	_edit_step	2	18	1
openhcs/tui/pipeline_editor.py	_refresh_steps	2	14	2
openhcs/tui/pipeline_editor.py	_move_step_up	9	53	1
openhcs/tui/pipeline_editor.py	_move_step_down	9	53	1
openhcs/tui/pipeline_editor.py	shutdown	1	10	1
openhcs/tui/pipeline_editor.py	_	1	3	1
openhcs/tui/pipeline_editor.py	execute	1	2	1
