file_path	function_name	complexity	lines	args
openhcs/tui/plate_manager_core.py	on_plate_added	1	1	2
openhcs/tui/plate_manager_core.py	on_plate_removed	1	1	2
openhcs/tui/plate_manager_core.py	on_plate_selected	1	1	2
openhcs/tui/plate_manager_core.py	on_plate_status_changed	1	1	3
openhcs/tui/plate_manager_core.py	__init__	2	41	4
openhcs/tui/plate_manager_core.py	_initialize_services	2	24	1
openhcs/tui/plate_manager_core.py	_on_filemanager_available	2	8	2
openhcs/tui/plate_manager_core.py	_initialize_ui	8	101	1
openhcs/tui/plate_manager_core.py	_get_selected_plate_data_for_action	2	8	1
openhcs/tui/plate_manager_core.py	_get_selected_orchestrators_for_action	5	19	1
openhcs/tui/plate_manager_core.py	container	4	11	1
openhcs/tui/plate_manager_core.py	get_buttons_container	2	21	1
openhcs/tui/plate_manager_core.py	register_with_app	1	8	1
openhcs/tui/plate_manager_core.py	_handle_request_show_add_plate_dialog	1	3	2
openhcs/tui/plate_manager_core.py	_handle_add_predefined_plate	3	14	2
openhcs/tui/plate_manager_core.py	_initialize_and_refresh	3	16	1
openhcs/tui/plate_manager_core.py	_update_selection	4	17	1
openhcs/tui/plate_manager_core.py	_build_plate_items_container	4	24	1
openhcs/tui/plate_manager_core.py	_get_plate_display_text	11	44	3
openhcs/tui/plate_manager_core.py	_handle_plate_item_select	2	5	2
openhcs/tui/plate_manager_core.py	_handle_plate_item_move_up	2	5	2
openhcs/tui/plate_manager_core.py	_handle_plate_item_move_down	2	5	2
openhcs/tui/plate_manager_core.py	_update_selection_and_notify_order	1	5	1
openhcs/tui/plate_manager_core.py	_create_key_bindings	6	31	1
openhcs/tui/plate_manager_core.py	_move_plate_up	2	9	1
openhcs/tui/plate_manager_core.py	_move_plate_down	2	9	1
openhcs/tui/plate_manager_core.py	_handle_add_dialog_result	5	23	2
openhcs/tui/plate_manager_core.py	_handle_delete_plates_request	5	32	2
openhcs/tui/plate_manager_core.py	_handle_error	3	7	3
openhcs/tui/plate_manager_core.py	_handle_validation_result	6	20	2
openhcs/tui/plate_manager_core.py	_handle_remove_dialog_result	1	14	2
openhcs/tui/plate_manager_core.py	_on_edit_plate_clicked	3	13	1
openhcs/tui/plate_manager_core.py	_on_init_plate_clicked	1	3	1
openhcs/tui/plate_manager_core.py	_on_compile_plate_clicked	1	3	1
openhcs/tui/plate_manager_core.py	_on_run_plate_clicked	1	3	1
openhcs/tui/plate_manager_core.py	_move_selection	3	8	2
openhcs/tui/plate_manager_core.py	_ensure_selection_visible	1	3	1
openhcs/tui/plate_manager_core.py	_select_plate	3	22	2
openhcs/tui/plate_manager_core.py	_update_plate_status	2	8	2
openhcs/tui/plate_manager_core.py	_update_plate_status_locally_and_notify	6	20	5
openhcs/tui/plate_manager_core.py	_refresh_plates	9	97	2
openhcs/tui/plate_manager_core.py	shutdown	3	12	1
openhcs/tui/plate_manager_core.py	_	2	4	1
openhcs/tui/plate_manager_core.py	execute	1	2	1
