source_file	dependency	entropy_flow
openhcs/processing/func_registry.py	sys	12.59
openhcs/processing/func_registry.py	openhcs	12.59
openhcs/processing/func_registry.py	pkgutil	12.59
openhcs/processing/func_registry.py	inspect	12.59
openhcs/processing/func_registry.py	importlib	12.59
openhcs/processing/func_registry.py	threading	12.59
openhcs/processing/func_registry.py	typing	12.59
openhcs/processing/func_registry.py	logging	12.59
openhcs/processing/func_registry.py	os	12.59
openhcs/processing/__init__.py	openhcs.processing.func_registry	37.01
openhcs/processing/__init__.py	openhcs.processing.function_registry	37.01
openhcs/processing/__init__.py	openhcs.processing.backends	37.01
openhcs/processing/registry_base.py	typing	59.28
openhcs/processing/registry_base.py	logging	59.28
openhcs/processing/function_registry.py	openhcs.processing.func_registry	23.43
openhcs/processing/function_registry.py	typing	23.43
openhcs/processing/function_registry.py	logging	23.43
openhcs/processing/function_registry.py	openhcs.core.memory.decorators	23.43
openhcs/processing/function_registry.py	openhcs.constants.constants	23.43
openhcs/processing/backends/assemblers/assemble_stack_cupy.py	openhcs.core.memory.decorators	16.86
openhcs/processing/backends/assemblers/assemble_stack_cupy.py	cupyx.scipy.ndimage	16.86
openhcs/processing/backends/assemblers/assemble_stack_cupy.py	openhcs.core.pipeline.function_contracts	16.86
openhcs/processing/backends/assemblers/assemble_stack_cupy.py	cupy	16.86
openhcs/processing/backends/assemblers/assemble_stack_cupy.py	typing	16.86
openhcs/processing/backends/assemblers/assemble_stack_cupy.py	logging	16.86
openhcs/processing/backends/assemblers/assemble_stack_cupy.py	openhcs.core.utils	16.86
openhcs/processing/backends/assemblers/__init__.py	openhcs.processing.backends.assemblers.assemble_stack_cpu	55.53
openhcs/processing/backends/assemblers/__init__.py	openhcs.processing.backends.assemblers.assemble_stack_cupy	55.53
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	openhcs.core.utils	19.58
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	matplotlib.pyplot	19.58
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	typing	19.58
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	matplotlib.patches	19.58
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	openhcs.core.memory.decorators	19.58
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	math	19.58
openhcs/processing/backends/assemblers/assemble_stack_cpu.py	numpy	19.66
openhcs/processing/backends/assemblers/assemble_stack_cpu.py	openhcs.core.pipeline.function_contracts	19.66
openhcs/processing/backends/assemblers/assemble_stack_cpu.py	typing	19.66
openhcs/processing/backends/assemblers/assemble_stack_cpu.py	logging	19.66
openhcs/processing/backends/assemblers/assemble_stack_cpu.py	scipy.ndimage	19.66
openhcs/processing/backends/assemblers/assemble_stack_cpu.py	openhcs.core.memory.decorators	19.66
openhcs/processing/backends/analysis/rrs_vectorized_tracer.py	openhcs.core.memory.decorators	38.56
