metric_category	metric_name	value	interpretation
entropy_distribution	mean	113.045853	Average entropy across files
entropy_distribution	std	21.203482	Standard deviation of entropy
entropy_distribution	skewness	-5.037062	Distribution asymmetry
entropy_distribution	kurtosis	23.936500	Distribution tail heaviness
complexity_distribution	mean	21.466667	Average complexity
complexity_distribution	std	13.568919	Complexity variation
complexity_distribution	max	49.000000	Maximum complexity
landscape	entropy_complexity_correlation	0.289094	Entropy-complexity correlation
landscape	hotspot_density	0.100000	Proportion of high-entropy files
landscape	signature	1210	4-char landscape fingerprint
