framework_level	framework_name	issues_found	tier	mathematical_weight	weighted_score	status
1	basic	29	Basic	1.0	29.0	HIGH
2	information	114	Basic	1.2	136.8	CRITICAL
3	topology	2	Basic	1.3	2.6	LOW
4	spectral	8	Basic	1.4	11.2	MEDIUM
5	unified	124	Basic	1.5	186.0	CRITICAL
6	persistent	2	Ultimate	2.0	4.0	LOW
7	k_theory	1	Ultimate	1.8	1.8	LOW
8	ultimate	3	Ultimate	2.2	6.6	LOW
9	percolation	3	Advanced	1.6	4.8	LOW
10	random_matrix	22	Advanced	2.1	46.2	HIGH
11	gauge	0	Advanced	1.9	0.0	LOW
12	spin_glass	11	Advanced	1.7	18.7	MEDIUM
13	knot	0	Next-Gen	2.3	0.0	LOW
14	matroid	1	Next-Gen	1.8	1.8	LOW
15	category	20	Next-Gen	2.0	40.0	MEDIUM
16	tropical	124	Next-Gen	1.9	235.6	CRITICAL
17	advanced_combined	40	Next-Gen	2.5	100.0	HIGH
