framework	basic	information	topology	spectral	unified	persistent	k_theory	ultimate	percolation	random_matrix	gauge	spin_glass	knot	matroid	category	tropical	advanced_combined
basic	1.000	0.254	0.069	0.276	0.234	0.069	0.034	0.103	0.103	0.759	0.000	0.379	0.000	0.034	0.690	0.234	0.725
information	0.254	1.000	0.018	0.070	0.919	0.018	0.009	0.026	0.026	0.193	0.000	0.096	0.000	0.009	0.175	0.919	0.351
topology	0.069	0.018	1.000	0.250	0.016	1.000	0.500	0.667	0.667	0.091	0.000	0.182	0.000	0.500	0.100	0.016	0.050
spectral	0.276	0.070	0.250	1.000	0.065	0.250	0.125	0.375	0.375	0.364	0.000	0.727	0.000	0.125	0.400	0.065	0.200
unified	0.234	0.919	0.016	0.065	1.000	0.016	0.008	0.024	0.024	0.177	0.000	0.089	0.000	0.008	0.161	1.000	0.323
persistent	0.069	0.018	1.000	0.250	0.016	1.000	0.500	0.667	0.667	0.091	0.000	0.182	0.000	0.500	0.100	0.016	0.050
k_theory	0.034	0.009	0.500	0.125	0.008	0.500	1.000	0.333	0.333	0.045	0.000	0.091	0.000	1.000	0.050	0.008	0.025
ultimate	0.103	0.026	0.667	0.375	0.024	0.667	0.333	1.000	1.000	0.136	0.000	0.273	0.000	0.333	0.150	0.024	0.075
percolation	0.103	0.026	0.667	0.375	0.024	0.667	0.333	1.000	1.000	0.136	0.000	0.273	0.000	0.333	0.150	0.024	0.075
random_matrix	0.759	0.193	0.091	0.364	0.177	0.091	0.045	0.136	0.136	1.000	0.000	0.500	0.000	0.045	0.909	0.177	0.550
gauge	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000
spin_glass	0.379	0.096	0.182	0.727	0.089	0.182	0.091	0.273	0.273	0.500	0.000	1.000	0.000	0.091	0.550	0.089	0.275
knot	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000
matroid	0.034	0.009	0.500	0.125	0.008	0.500	1.000	0.333	0.333	0.045	0.000	0.091	0.000	1.000	0.050	0.008	0.025
category	0.690	0.175	0.100	0.400	0.161	0.100	0.050	0.150	0.150	0.909	0.000	0.550	0.000	0.050	1.000	0.161	0.500
tropical	0.234	0.919	0.016	0.065	1.000	0.016	0.008	0.024	0.024	0.177	0.000	0.089	0.000	0.008	0.161	1.000	0.323
advanced_combined	0.725	0.351	0.050	0.200	0.323	0.050	0.025	0.075	0.075	0.550	0.000	0.275	0.000	0.025	0.500	0.323	1.000
