file_path	function_name	complexity	lines	args
openhcs/processing/func_registry.py	initialize_registry	3	40	0
openhcs/processing/func_registry.py	_scan_and_register_functions	7	39	0
openhcs/processing/func_registry.py	_register_function	2	28	2
openhcs/processing/func_registry.py	get_functions_by_memory_type	3	33	1
openhcs/processing/func_registry.py	get_function_info	2	26	1
openhcs/processing/func_registry.py	is_registry_initialized	1	11	0
openhcs/processing/func_registry.py	get_valid_memory_types	1	8	0
openhcs/processing/registry_base.py	initialize_registry	2	12	1
openhcs/processing/registry_base.py	register_function	3	28	2
openhcs/processing/registry_base.py	get_functions_by_backend	2	19	1
openhcs/processing/registry_base.py	get_function_info	2	24	1
openhcs/processing/function_registry.py	memory_types	1	46	0
openhcs/processing/function_registry.py	numpy	2	29	1
openhcs/processing/function_registry.py	cupy	2	29	1
openhcs/processing/function_registry.py	torch	2	29	1
openhcs/processing/function_registry.py	tensorflow	2	29	1
openhcs/processing/function_registry.py	jax	2	29	1
openhcs/processing/function_registry.py	registry_decorator	1	22	1
openhcs/processing/function_registry.py	test_func	1	3	1
openhcs/processing/backends/assemblers/assemble_stack_cupy.py	_create_gaussian_blend_mask	2	22	2
openhcs/processing/backends/assemblers/assemble_stack_cupy.py	assemble_stack_cupy	13	163	3
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	barlow_twins_loss	1	14	3
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	geometry_consistency_loss	1	7	2
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	photometric_loss	1	2	2
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	warp_tile_homography	2	45	3
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	get_adjacency_from_layout	8	26	4
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	optimize_pose_graph	4	36	4
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	self_supervised_stitcher_func	25	289	1
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	__init__	3	18	2
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	forward	1	24	3
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	plot_layout	3	31	7
openhcs/processing/backends/assemblers/assemble_stack_cpu.py	_create_gaussian_blend_mask	2	22	2
openhcs/processing/backends/assemblers/assemble_stack_cpu.py	assemble_stack_cpu	13	161	3
openhcs/processing/backends/analysis/rrs_vectorized_tracer.py	trace_neurites_rrs_vectorized	22	188	7
openhcs/processing/backends/analysis/self_supervised_segmentation_3d.py	_extract_random_patches	2	12	3
openhcs/processing/backends/analysis/self_supervised_segmentation_3d.py	_affine_augment_patch	5	11	1
