file_path	semantic_profile	entropy_char	complexity_char	function_count_char	dependency_char	risk_char	priority_char	coupling_char	cohesion_char
openhcs/processing/func_registry.py	4C79M3MH	4	C	7	9	M	3	M	H
openhcs/processing/__init__.py	4A03M3LL	4	A	0	3	M	3	L	L
openhcs/processing/registry_base.py	4B42M3LH	4	B	4	2	M	3	L	H
openhcs/processing/function_registry.py	4B85M3LH	4	B	8	5	M	3	L	H
openhcs/processing/backends/__init__.py	0A00L4LL	0	A	0	0	L	4	L	L
openhcs/processing/backends/assemblers/assemble_stack_cupy.py	4D27H3LL	4	D	2	7	H	3	L	L
openhcs/processing/backends/assemblers/__init__.py	4A02M3LL	4	A	0	2	M	3	L	L
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	4E96H2LH	4	E	9	6	H	2	L	H
openhcs/processing/backends/assemblers/assemble_stack_cpu.py	4D26H3LL	4	D	2	6	H	3	L	L
openhcs/processing/backends/analysis/rrs_vectorized_tracer.py	4D13H3LL	4	D	1	3	H	3	L	L
openhcs/processing/backends/analysis/__init__.py	4A02M2LL	4	A	0	2	M	2	L	L
openhcs/processing/backends/analysis/self_supervised_segmentation_3d.py	4E74H2LH	4	E	7	4	H	2	L	H
openhcs/processing/backends/analysis/focus_analyzer.py	4C94M2LH	4	C	9	4	M	2	L	H
openhcs/processing/backends/analysis/dxf_mask_pipeline.py	4E69H3MH	4	E	6	9	H	3	M	H
openhcs/processing/backends/analysis/straighten_object_3d.py	4E24H2LL	4	E	2	4	H	2	L	L
openhcs/processing/backends/enhance/__init__.py	4A03M3LL	4	A	0	3	M	3	L	L
openhcs/processing/backends/enhance/self_supervised_3d_deconvolution.py	4D75H2LH	4	D	7	5	H	2	L	H
openhcs/processing/backends/enhance/focus_torch.py	4C23M3LH	4	C	2	3	M	3	L	H
openhcs/processing/backends/enhance/dl_edof_unsupervised.py	4C86H3LH	4	C	8	6	H	3	L	H
openhcs/processing/backends/enhance/basic_processor_cupy.py	4D56H3LH	4	D	5	6	H	3	L	H
openhcs/processing/backends/enhance/basic_processor_numpy.py	4D55H3LH	4	D	5	5	H	3	L	H
openhcs/processing/backends/enhance/n2v2_processor_torch.py	4D55H2LL	4	D	5	5	H	2	L	L
openhcs/processing/backends/pos_gen/__init__.py	4A02M3LL	4	A	0	2	M	3	L	L
openhcs/processing/backends/pos_gen/mist_processor_cupy.py	3E48H2LL	3	E	4	8	H	2	L	L
openhcs/processing/backends/pos_gen/ashlar_processor_cupy.py	4D37H3LH	4	D	3	7	H	3	L	H
openhcs/processing/backends/processors/jax_processor.py	4E95H2LH	4	E	9	5	H	2	L	H
openhcs/processing/backends/processors/torch_processor.py	4E95H2LH	4	E	9	5	H	2	L	H
openhcs/processing/backends/processors/numpy_processor.py	4E96H2LH	4	E	9	6	H	2	L	H
openhcs/processing/backends/processors/cupy_processor.py	4E95H2LH	4	E	9	5	H	2	L	H
openhcs/processing/backends/processors/tensorflow_processor.py	4E96H2LH	4	E	9	6	H	2	L	H
