framework	basic	information	topology	spectral	unified	persistent	k_theory	ultimate	percolation	random_matrix	gauge	spin_glass	knot	matroid	category	tropical	advanced_combined
basic	1.000	0.483	0.034	0.207	0.433	0.034	0.069	0.103	0.034	0.655	0.000	0.310	0.000	0.310	0.483	0.433	0.655
information	0.483	1.000	0.017	0.100	0.896	0.017	0.033	0.050	0.017	0.317	0.000	0.150	0.000	0.150	0.233	0.896	0.317
topology	0.034	0.017	1.000	0.167	0.015	1.000	0.500	0.333	1.000	0.053	0.000	0.111	0.000	0.111	0.071	0.015	0.053
spectral	0.207	0.100	0.167	1.000	0.090	0.167	0.333	0.500	0.167	0.316	0.000	0.667	0.000	0.667	0.429	0.090	0.316
unified	0.433	0.896	0.015	0.090	1.000	0.015	0.030	0.045	0.015	0.284	0.000	0.134	0.000	0.134	0.209	1.000	0.284
persistent	0.034	0.017	1.000	0.167	0.015	1.000	0.500	0.333	1.000	0.053	0.000	0.111	0.000	0.111	0.071	0.015	0.053
k_theory	0.069	0.033	0.500	0.333	0.030	0.500	1.000	0.667	0.500	0.105	0.000	0.222	0.000	0.222	0.143	0.030	0.105
ultimate	0.103	0.050	0.333	0.500	0.045	0.333	0.667	1.000	0.333	0.158	0.000	0.333	0.000	0.333	0.214	0.045	0.158
percolation	0.034	0.017	1.000	0.167	0.015	1.000	0.500	0.333	1.000	0.053	0.000	0.111	0.000	0.111	0.071	0.015	0.053
random_matrix	0.655	0.317	0.053	0.316	0.284	0.053	0.105	0.158	0.053	1.000	0.000	0.474	0.000	0.474	0.737	0.284	1.000
gauge	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000
spin_glass	0.310	0.150	0.111	0.667	0.134	0.111	0.222	0.333	0.111	0.474	0.000	1.000	0.000	1.000	0.643	0.134	0.474
knot	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000
matroid	0.310	0.150	0.111	0.667	0.134	0.111	0.222	0.333	0.111	0.474	0.000	1.000	0.000	1.000	0.643	0.134	0.474
category	0.483	0.233	0.071	0.429	0.209	0.071	0.143	0.214	0.071	0.737	0.000	0.643	0.000	0.643	1.000	0.209	0.737
tropical	0.433	0.896	0.015	0.090	1.000	0.015	0.030	0.045	0.015	0.284	0.000	0.134	0.000	0.134	0.209	1.000	0.284
advanced_combined	0.655	0.317	0.053	0.316	0.284	0.053	0.105	0.158	0.053	1.000	0.000	0.474	0.000	0.474	0.737	0.284	1.000
