file_path	priority_score	entropy_reduction_potential	complexity_reduction_potential	risk_assessment	mathematical_guidance	cyclomatic_reduction	function_extraction_potential
openhcs/tui/components/function_pattern_editor.py	5.672	1.000	21.929	MEDIUM	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	20.4	3.3
openhcs/tui/commands.py	5.374	1.000	21.474	LOW	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	19.2	0.2
openhcs/tui/components/parameter_editor.py	4.083	1.000	21.291	LOW	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	13.8	1.4
openhcs/tui/controllers/app_controller.py	3.609	1.000	22.065	HIGH	KNOT_THEORY: Untangle dependency crossings	8.7	3.2
openhcs/tui/components/step_settings_editor.py	3.269	1.000	21.823	LOW	KNOT_THEORY: Untangle dependency crossings	9.0	2.0
openhcs/tui/components/file_browser.py	3.175	1.000	22.627	LOW	KNOT_THEORY: Untangle dependency crossings	8.7	1.1
openhcs/tui/utils/file_operations.py	3.068	1.000	21.484	LOW	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	9.3	0.7
openhcs/tui/controllers/dual_editor_controller.py	3.050	1.000	21.871	LOW	KNOT_THEORY: Untangle dependency crossings	8.1	1.5
openhcs/tui/controllers/plate_manager_controller.py	2.854	1.000	22.963	LOW	KNOT_THEORY: Untangle dependency crossings	6.6	1.7
openhcs/tui/components/step_list_view.py	2.765	1.000	22.093	LOW	KNOT_THEORY: Untangle dependency crossings	7.8	1.2
openhcs/tui/components/plate_list_view.py	2.742	1.000	22.071	LOW	KNOT_THEORY: Untangle dependency crossings	7.5	1.0
openhcs/tui/test_hybrid_tui.py	2.573	1.000	21.892	LOW	KNOT_THEORY: Untangle dependency crossings	6.3	0.6
openhcs/tui/components/interactive_list_item.py	2.478	1.000	22.075	LOW	KNOT_THEORY: Untangle dependency crossings	5.7	1.4
openhcs/tui/utils/safe_formatting.py	2.296	1.000	22.528	LOW	KNOT_THEORY: Untangle dependency crossings	4.5	1.0
openhcs/tui/utils/static_analysis.py	2.269	1.000	21.495	LOW	KNOT_THEORY: Untangle dependency crossings	5.1	0.5
openhcs/tui/components/grouped_dropdown.py	2.249	1.000	22.182	LOW	KNOT_THEORY: Untangle dependency crossings	4.5	1.5
openhcs/tui/utils/dialogs.py	2.248	1.000	21.324	LOW	KNOT_THEORY: Untangle dependency crossings	4.2	0.8
openhcs/tui/controllers/pipeline_editor_controller.py	2.155	1.000	22.938	LOW	KNOT_THEORY: Untangle dependency crossings	3.6	1.3
openhcs/tui/main.py	1.945	1.000	22.500	LOW	KNOT_THEORY: Untangle dependency crossings	3.6	0.6
openhcs/tui/components/pipeline_actions_toolbar.py	1.935	1.000	22.419	LOW	KNOT_THEORY: Untangle dependency crossings	3.0	0.6
openhcs/tui/components/plate_actions_toolbar.py	1.878	1.000	22.479	LOW	KNOT_THEORY: Untangle dependency crossings	2.4	0.7
openhcs/tui/__main__.py	1.474	0.750	22.809	LOW	KNOT_THEORY: Untangle dependency crossings	1.2	0.2
openhcs/tui/simple_test.py	1.384	0.675	22.608	LOW	KNOT_THEORY: Untangle dependency crossings	0.9	0.1
openhcs/tui/interfaces/component_interfaces.py	1.375	1.000	21.652	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	1.6
openhcs/tui/__init__.py	1.354	0.623	24.110	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/tui/utils/__init__.py	1.286	0.585	22.598	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/tui/components/__init__.py	1.279	0.604	23.373	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/tui/controllers/__init__.py	1.202	0.578	22.327	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/tui/interfaces/__init__.py	1.192	0.573	22.126	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
