metric_category	metric_name	value	interpretation
entropy_distribution	mean	111.405581	Average entropy across files
entropy_distribution	std	3.415261	Standard deviation of entropy
entropy_distribution	skewness	0.314874	Distribution asymmetry
entropy_distribution	kurtosis	0.768275	Distribution tail heaviness
complexity_distribution	mean	32.414634	Average complexity
complexity_distribution	std	39.436256	Complexity variation
complexity_distribution	max	148.000000	Maximum complexity
landscape	entropy_complexity_correlation	-0.039768	Entropy-complexity correlation
landscape	hotspot_density	0.000000	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
