file_path	function_name	complexity	lines	args
openhcs/tui/components.py	__init__	1	16	7
openhcs/tui/components.py	_get_display_text	1	3	1
openhcs/tui/components.py	_handle_move_up_click	2	5	1
openhcs/tui/components.py	_handle_move_down_click	2	4	1
openhcs/tui/components.py	_create_container	4	40	1
openhcs/tui/components.py	__pt_container__	1	2	1
openhcs/tui/components.py	_get_text_fragments	4	17	1
openhcs/tui/components.py	update_function	1	8	4
openhcs/tui/components.py	_build_ui	3	26	1
openhcs/tui/components.py	_get_function_parameters	3	21	2
openhcs/tui/components.py	_create_parameter_field	2	14	6
openhcs/tui/components.py	_create_input_field	1	12	3
openhcs/tui/components.py	on_text_changed_handler	1	4	1
openhcs/tui/pipeline_editor.py	__init__	1	31	3
openhcs/tui/pipeline_editor.py	create	1	21	3
openhcs/tui/pipeline_editor.py	setup	6	85	1
openhcs/tui/pipeline_editor.py	_get_selected_steps_for_action	2	5	1
openhcs/tui/pipeline_editor.py	container	1	3	1
openhcs/tui/pipeline_editor.py	get_buttons_container	2	20	1
openhcs/tui/pipeline_editor.py	_build_step_items_container	7	39	1
openhcs/tui/pipeline_editor.py	_get_step_display_text	2	17	3
openhcs/tui/pipeline_editor.py	_handle_item_select	2	5	2
openhcs/tui/pipeline_editor.py	_handle_item_move_up	2	5	2
openhcs/tui/pipeline_editor.py	_handle_item_move_down	2	5	2
openhcs/tui/pipeline_editor.py	_get_status_icon	2	26	2
openhcs/tui/pipeline_editor.py	_get_function_name	7	31	2
openhcs/tui/pipeline_editor.py	_handle_edit_step_request	8	38	2
openhcs/tui/pipeline_editor.py	_create_key_bindings	4	48	1
openhcs/tui/pipeline_editor.py	_update_selection	3	16	1
openhcs/tui/pipeline_editor.py	_select_step	2	11	2
openhcs/tui/pipeline_editor.py	_save_pipeline	7	45	1
openhcs/tui/pipeline_editor.py	_handle_step_pattern_saved	4	17	2
openhcs/tui/pipeline_editor.py	_on_plate_selected	2	12	2
openhcs/tui/pipeline_editor.py	_load_steps_for_plate	8	68	2
openhcs/tui/pipeline_editor.py	_edit_step	2	18	1
openhcs/tui/pipeline_editor.py	_refresh_steps	2	14	2
openhcs/tui/pipeline_editor.py	_move_step_up	9	53	1
openhcs/tui/pipeline_editor.py	_move_step_down	9	53	1
openhcs/tui/pipeline_editor.py	shutdown	1	10	1
openhcs/tui/pipeline_editor.py	_	1	3	1
openhcs/tui/pipeline_editor.py	execute	1	2	1
openhcs/tui/layout_components.py	__init__	1	4	3
openhcs/tui/layout_components.py	build_top_bar	1	30	3
openhcs/tui/layout_components.py	build_pane_frame	1	33	5
openhcs/tui/layout_components.py	build_main_content_area	1	15	3
openhcs/tui/layout_components.py	build_status_bar	1	15	2
openhcs/tui/layout_components.py	build_root_layout	1	29	5
openhcs/tui/layout_components.py	build_dynamic_buttons_container	2	20	4
openhcs/tui/layout_components.py	get_buttons	2	5	0
openhcs/tui/file_browser.py	__init__	1	40	10
openhcs/tui/file_browser.py	get_initial_focus_target	1	6	1
openhcs/tui/file_browser.py	_resolve_initial_path	5	20	2
openhcs/tui/file_browser.py	_get_path_display_text	1	3	1
openhcs/tui/file_browser.py	_build_ui	1	38	1
openhcs/tui/file_browser.py	_format_size	5	11	2
openhcs/tui/file_browser.py	_format_mtime	3	8	2
openhcs/tui/file_browser.py	_build_item_list_ui	8	60	1
openhcs/tui/file_browser.py	_load_directory_listing	8	61	1
openhcs/tui/file_browser.py	_handle_item_activated	11	41	2
openhcs/tui/file_browser.py	_handle_ok	16	51	1
openhcs/tui/file_browser.py	_handle_cancel	1	3	1
openhcs/tui/file_browser.py	_handle_up_directory	2	7	1
