metric_category	metric_name	value	interpretation
entropy_distribution	mean	111.667419	Average entropy across files
entropy_distribution	std	3.356538	Standard deviation of entropy
entropy_distribution	skewness	0.126770	Distribution asymmetry
entropy_distribution	kurtosis	0.855312	Distribution tail heaviness
complexity_distribution	mean	32.714286	Average complexity
complexity_distribution	std	39.371422	Complexity variation
complexity_distribution	max	148.000000	Maximum complexity
landscape	entropy_complexity_correlation	-0.037396	Entropy-complexity correlation
landscape	hotspot_density	0.000000	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
