pipeline_name,method,assay_category,module_category,accuracy_fraction,raw_seconds,speedup,peak_memory_mb
Colocalization microscopy,CP,Colocalization microscopy,Aggregate,1.0,49.1275454669958,1.0,
Colocalization microscopy,OH1,Colocalization microscopy,Aggregate,1.0,2.7040021100547165,18.16845677905247,
DNA damage assay,CP,DNA damage assay,Aggregate,1.0,15.741689472983126,1.0,
DNA damage assay,OH1,DNA damage assay,Aggregate,1.0,3.633413258008659,4.3324797800761505,
Tissue/object morphology,CP,Tissue/object morphology,Aggregate,1.0,7.511720297014108,1.0,
Tissue/object morphology,OH1,Tissue/object morphology,Aggregate,1.0,1.073103244008962,7.597935027246583,
Cell morphology,CP,Cell morphology,Aggregate,1.0,7.387632819688103,1.0,
Cell morphology,OH1,Cell morphology,Aggregate,1.0,1.541520469278718,5.602843213618051,
Illumination correction,CP,Illumination correction,Aggregate,1.0,239.06557741224242,1.0,
Illumination correction,OH1,Illumination correction,Aggregate,1.0,1.0660826212260872,143.20510111333726,
Imaging flow cytometry,CP,Imaging flow cytometry,Aggregate,1.0,77.20840452401899,1.0,
Imaging flow cytometry,OH1,Imaging flow cytometry,Aggregate,1.0,11.047443108982407,6.988803088856164,
Spatial organization,CP,Spatial organization,Aggregate,1.0,4.991342707013246,1.0,
Spatial organization,OH1,Spatial organization,Aggregate,1.0,0.5543193269986659,9.004453685637518,
Positive-cell classification,CP,Positive-cell classification,Aggregate,1.0,2.8130275470321067,1.0,
Positive-cell classification,OH1,Positive-cell classification,Aggregate,1.0,0.19497283292002976,14.4277923488238,
Spot detection,CP,Spot detection,Aggregate,1.0,3.592122161993757,1.0,
Spot detection,OH1,Spot detection,Aggregate,1.0,0.8235244519310072,4.361888895430996,
Time-lapse tracking,CP,Time-lapse tracking,Aggregate,1.0,27.457213897025213,1.0,
Time-lapse tracking,OH1,Time-lapse tracking,Aggregate,1.0,6.173355053062551,4.447697185893093,
Tumor morphology,CP,Tumor morphology,Aggregate,1.0,5.118731037015095,1.0,
Tumor morphology,OH1,Tumor morphology,Aggregate,1.0,0.6904145539738238,7.413996428020209,
Worm phenotyping,CP,Worm phenotyping,Aggregate,1.0,5.741215903680616,1.0,
Worm phenotyping,OH1,Worm phenotyping,Aggregate,1.0,1.1165285680132608,5.359419757070156,
Migration/scratch assay,CP,Migration/scratch assay,Aggregate,1.0,5.32681561895879,1.0,
Migration/scratch assay,OH1,Migration/scratch assay,Aggregate,1.0,0.9907379059586674,5.376614326474574,
Yeast colony screening,CP,Yeast colony screening,Aggregate,1.0,10.12650408197078,1.0,
Yeast colony screening,OH1,Yeast colony screening,Aggregate,1.0,1.7442607500124723,5.9013599837581445,
Object-combination benchmark,CP,Object-combination benchmark,Aggregate,1.0,2.171098146995064,1.0,
Object-combination benchmark,OH1,Object-combination benchmark,Aggregate,1.0,0.03782975790090859,57.39127785808322,
3D monolayer morphology,CP,3D monolayer morphology,Aggregate,1.0,17.2377032910008,1.0,
3D monolayer morphology,OH1,3D monolayer morphology,Aggregate,1.0,3.654651029035449,4.716648225521616,
Cell Painting morphology,CP,Cell Painting morphology,Aggregate,1.0,24.793343506986275,1.0,
Cell Painting morphology,OH1,Cell Painting morphology,Aggregate,1.0,4.47793747310061,5.536777513290932,
Pixel classification,CP,Pixel classification,Aggregate,1.0,5.077472341014072,1.0,
Pixel classification,OH1,Pixel classification,Aggregate,1.0,0.69360328593757,7.320427172069491,
Cell Painting quality control,CP,Cell Painting quality control,Aggregate,1.0,3.7222831519902684,1.0,
Cell Painting quality control,OH1,Cell Painting quality control,Aggregate,1.0,0.24097109399735928,15.44701105117222,
Translocation assay,CP,Translocation assay,Aggregate,1.0,2.8637453804840334,1.0,
Translocation assay,OH1,Translocation assay,Aggregate,1.0,0.22809232852887362,14.294633467248339,
Colocalization + object measurement,CP,Aggregate,Colocalization + object measurement,1.0,49.1275454669958,1.0,
Colocalization + object measurement,OH1,Aggregate,Colocalization + object measurement,1.0,2.7040021100547165,18.16845677905247,
Segmentation + shape measurement,CP,Aggregate,Segmentation + shape measurement,1.0,11.488827799010323,1.0,
Segmentation + shape measurement,OH1,Aggregate,Segmentation + shape measurement,1.0,2.6481229799683206,4.342034880312122,
Segmentation + object measurement,CP,Aggregate,Segmentation + object measurement,1.0,7.511720297014108,1.0,
Segmentation + object measurement,OH1,Aggregate,Segmentation + object measurement,1.0,1.073103244008962,7.597935027246583,
Segmentation + intensity measurement,CP,Aggregate,Segmentation + intensity measurement,1.0,6.681887790347294,1.0,
Segmentation + intensity measurement,OH1,Aggregate,Segmentation + intensity measurement,1.0,1.2173810866273318,6.623645362775423,
Image correction,CP,Aggregate,Image correction,1.0,239.06557741224242,1.0,
Image correction,OH1,Aggregate,Image correction,1.0,1.0660826212260872,143.20510111333726,
