File Path,Classes,Functions,Methods,Total Definitions,Top Names,Top Param Types,Top Return Types
openhcs/microscopes/opera_phenix.py,4,0,16,20,"__init__, get_field_id_mapping, common_dirs, _prepare_workspace, can_parse","str, Union[str, Path], FileManager, Optional[Union[int, str]], int","str, Dict[str, int], List[str], bool, Optional[Dict[str, Any]]"
openhcs/microscopes/microscope_interfaces_base.py,2,0,6,8,"can_parse, parse_filename, construct_filename, find_metadata_file, get_grid_dimensions","str, Union[str, Path], Optional[Union[int, str]], int, Optional[int]","bool, Optional[Dict[str, Any]], str, Path, Tuple[int, int]"
openhcs/microscopes/opera_phenix_xml_parser.py,4,0,13,17,"__init__, _parse_xml, get_plate_info, get_grid_size, get_pixel_size","str, Union[str, Path], Dict[int, Tuple[float, float]], int, Optional[Dict[int, int]]","Optional[str], Dict[str, Any], Tuple[int, int], float, Dict[str, Dict[str, Any]]"
openhcs/microscopes/microscope_base.py,1,2,11,14,"create_microscope_handler, _auto_detect_microscope_type, __init__, common_dirs, post_workspace","Union[str, Path], FileManager, str, int, Path","str, List[str], Optional[Dict[str, Any]], Optional[Path], Tuple[int, int]"
openhcs/microscopes/imagexpress.py,3,0,12,15,"__init__, common_dirs, _prepare_workspace, _flatten_zsteps, can_parse","FileManager, Union[str, Path], Optional[<complex_annotation>], Path, Union[str, Any]","Path, List[str], bool, Optional[Dict[str, Any]], str"
openhcs/microscopes/microscope_interfaces.py,0,2,0,2,"create_microscope_handler, _auto_detect_microscope_type","FileManager, Union[str, Path], str, Optional[str], Path","MicroscopeHandler, str"
openhcs/runtime/napari_stream_visualizer.py,1,0,7,8,"__init__, _initialize_viewer_in_thread, _update_layer_in_thread, start_viewer, _prepare_data_for_display","str, FileManager, np.ndarray, Optional[Dict], Any","Optional[np.ndarray]"
openhcs/constants/clauses.py,1,0,1,2,"__str__","","str"
openhcs/constants/constants.py,6,0,0,6,"","",""
openhcs/core/pipeline/funcstep_contract_validator.py,1,0,6,7,"validate_pipeline, validate_funcstep, validate_function_pattern, _validate_required_args, validate_pattern_structure","str, Any, List[Any], Optional[Dict[str, Any]], FunctionStep","List[Callable], Dict[str, Dict[str, str]], Dict[str, str], Tuple[str, str], <complex_annotation>"
openhcs/core/pipeline/compiler.py,1,0,5,6,"initialize_step_plans_for_context, plan_materialization_flags_for_context, validate_memory_contracts_for_context, assign_gpu_resources_for_context, apply_global_visualizer_override_for_context","ProcessingContext, List[AbstractStep], bool","<complex_annotation>"
openhcs/core/pipeline/step_attribute_stripper.py,1,0,1,2,"strip_step_attributes","List[Any], Dict[str, Dict[str, Any]]","<complex_annotation>"
openhcs/core/pipeline/gpu_memory_validator.py,1,1,1,3,"get_gpu_registry_status, validate_step_plans","Dict[str, Dict[str, Any]]","Dict[str, Dict[str, Any]]"
openhcs/core/pipeline/function_contracts.py,0,5,0,5,"decorator, special_outputs, special_inputs, chain_breaker","F","F, Callable[<complex_annotation>, F]"
openhcs/core/pipeline/pipeline_factories.py,1,0,2,3,"__init__, create_pipelines","bool, Union[str, Path], Optional[Union[str, Path]], Optional[Dict[str, Any]], str","List[Pipeline]"
openhcs/core/pipeline/pipeline.py,0,0,0,0,"","",""
openhcs/core/pipeline/executor.py,1,0,1,2,"execute","Union[List[AbstractStep], List[List[AbstractStep]]], Union[ProcessingContext, List[ProcessingContext]], int, Optional[Any]","Union[ProcessingContext, List[ProcessingContext]]"
openhcs/core/pipeline/pipeline_utils.py,0,2,0,2,"get_core_callable, to_snake_case","Any, str","Optional[Callable[<complex_annotation>, Any]], str"
openhcs/core/pipeline/materialization_flag_planner.py,1,0,1,2,"prepare_pipeline_flags","ProcessingContext, List[AbstractStep]","<complex_annotation>"
openhcs/core/pipeline/path_planner.py,2,0,1,3,"prepare_pipeline_paths","ProcessingContext, List[AbstractStep]","Dict[str, Dict[str, Any]]"
openhcs/core/context/processing_context.py,1,0,9,10,"__init__, __setattr__, inject_plan, freeze, is_frozen","str, GlobalPipelineConfig, Optional[Dict[str, Dict[str, Any]]], Optional[str], Any","<complex_annotation>, bool, Optional[Dict[str, Any]], VFSConfig, PathPlanningConfig"
openhcs/core/config.py,3,1,0,4,"get_default_global_config","","GlobalPipelineConfig"
openhcs/core/memory/converters.py,0,3,0,3,"validate_memory_type, validate_data_compatibility, convert_memory","str, Any, int, bool","<complex_annotation>, Any"
openhcs/core/memory/decorators.py,0,7,0,7,"memory_types, decorator, numpy, cupy, torch","Optional[F], F","Any, Callable[<complex_annotation>, F], F"
openhcs/core/memory/wrapper.py,1,0,13,14,"__init__, memory_type, data, gpu_id, input_memory_type","bool, Any, str, int","<complex_annotation>, str, Any, Optional[int], tuple"
openhcs/core/memory/gpu_utils.py,0,4,0,4,"check_cupy_gpu_available, check_torch_gpu_available, check_tf_gpu_available, check_jax_gpu_available","","Optional[int]"
openhcs/core/memory/stack_utils.py,0,6,0,6,"_is_2d, _is_3d, _detect_memory_type, _enforce_gpu_device_requirements, stack_slices","Any, str, int, bool, List[Any]","bool, str, <complex_annotation>, Any, List[Any]"
openhcs/core/memory/utils.py,0,6,0,6,"_ensure_module, _supports_cuda_array_interface, _supports_dlpack, _get_device_id, _set_device","str, Any, int","Any, bool, Optional[int], <complex_annotation>"
openhcs/core/memory/trackers/tf_tracker.py,1,0,2,3,"__init__, get_free_memory","int","float"
openhcs/core/memory/trackers/cupy_tracker.py,1,0,2,3,"__init__, get_free_memory","int","float"
openhcs/core/memory/trackers/memory_tracker.py,2,0,2,4,"__init__, get_free_memory","int","float"
openhcs/core/memory/trackers/numpy_tracker.py,1,0,4,5,"__init__, get_free_memory, get_numpy_memory_info, create","int","float, Dict[str, float], <complex_annotation>"
openhcs/core/memory/trackers/memory_tracker_registry.py,2,3,4,9,"get_tracker, list_trackers, __init__, list_available_tracker_specs","str, bool, Type","Any, List[str], List[MemoryTrackerSpec]"
openhcs/core/memory/trackers/torch_tracker.py,1,0,2,3,"__init__, get_free_memory","int","float"
openhcs/core/memory/conversion_functions.py,0,24,0,24,"_numpy_to_numpy, _numpy_to_cupy, _numpy_to_torch, _numpy_to_tensorflow, _cupy_to_numpy","Any, Optional[int], bool, int","Any"
openhcs/core/memory/exceptions.py,1,0,1,2,"__init__","str",""
