File Path,Classes,Functions,Methods,Total Definitions,Top Names,Top Param Types,Top Return Types
openhcs/tui/components.py,3,0,16,19,"__init__, __pt_container__, _get_display_text, _handle_move_up_click, _handle_move_down_click","bool, Callable[<complex_annotation>, <complex_annotation>], Dict[str, Any], int, Any","Container, str, VSplit, List[Dict], TextArea"
openhcs/tui/pipeline_editor.py,2,0,32,34,"_, __init__, create, setup, execute","int, Dict[str, Any], ProcessingContext, str, bool","str, Container, List[Dict[str, Any]], HSplit, <complex_annotation>"
openhcs/tui/file_browser.py,1,3,24,28,"main_async, on_path_selected_cb, on_cancel_cb, __init__, get_initial_focus_target","bool, Callable[<complex_annotation>, Coroutine[Any, Any, <complex_annotation>]], Optional[Union[str, Path]], FileManager, Optional[Backend]","Container, str, Optional[Button], Path, FormattedText"
openhcs/tui/tui_launcher.py,1,0,7,8,"__init__, _handle_global_config_update, _on_plate_added, _on_plate_removed, _on_plate_selected","GlobalPipelineConfig, Optional[str], Dict[str, Any], Optional[Dict[str, Any]]",""
openhcs/tui/dual_step_func_editor.py,1,0,19,20,"__init__, _func_pattern_changed, _initialize_ui, get_current_view_container, _get_current_view_title","Any, str, FunctionStep, Optional[str]","Container, str, ScrollablePane, Any"
openhcs/tui/__main__.py,0,1,0,1,"main","",""
openhcs/tui/menu_bar.py,8,0,67,75,"_, __init__, create_mouse_handler, __aenter__, __aexit__","KeyPressEvent, str, Dict[str, Any], Union[bool, Condition], <complex_annotation>","<complex_annotation>, bool, Container, Dict[str, Union[Callable, Command]], Dict[str, Condition]"
openhcs/tui/utils.py,0,6,0,6,"show_error_dialog, ok_handler, prompt_for_path_dialog, accept_path, cancel_dialog","str, Optional[Any], Any","Optional[str]"
openhcs/tui/function_pattern_editor.py,2,1,38,41,"get_function_info, __init__, container, _extract_pattern, _clone_pattern","str, int, Any, Union[List, Dict, <complex_annotation>], Optional[Callable]","Union[List, Dict], Container, Tuple[Optional[Callable], Dict[str, Any]], List, Tuple[Optional[Callable], Dict]"
openhcs/tui/plate_manager_core.py,3,0,55,58,"_, _on_filemanager_available, _handle_add_dialog_result, _handle_error, _handle_validation_result","Dict[str, Any], str, int, bool, ProcessingContext","<complex_annotation>, Container, Optional[List[Dict[str, Any]]], List[<complex_annotation>], HSplit"
openhcs/tui/tui_architecture.py,3,0,41,44,"_, __init__, add_observer, remove_observer, notify","Any, str, Dict[str, Any], Callable, GlobalPipelineConfig","Container, <complex_annotation>, KeyBindings"
openhcs/tui/commands.py,14,0,29,43,"execute, can_execute, __init__","<complex_annotation>","<complex_annotation>, bool"
openhcs/tui/status_bar.py,7,0,32,39,"__init__, from_string, from_logging_level, validate_priority, validate_log_entry","str, Dict[str, Any], Priority, int, Optional[str]","<complex_annotation>, FormattedText, Label"
openhcs/tui/dialogs/global_settings_editor.py,1,0,13,14,"__init__, _get_config_value, _set_config_value, _on_setting_changed, _get_field_type_by_path","Any, str, Type, GlobalPipelineConfig, List[str]","Any, bool, Optional[Type], List[Any], Optional[GlobalPipelineConfig]"
openhcs/tui/dialogs/manager.py,1,1,5,7,"initialize_dialog_manager, __init__, register, get, show","str, Any, BaseDialog","<complex_annotation>, Optional[BaseDialog], Any"
openhcs/tui/dialogs/plate_config_editor.py,1,0,14,15,"__init__, _config_value_changed, _create_config_widgets, int_accept_handler, str_accept_handler","str, <complex_annotation>, Any","Container, <complex_annotation>, List[Any]"
openhcs/tui/dialogs/plate_dialog_manager.py,4,0,25,29,"__call__, __init__, reset, show, hide","str, DialogResultCallback, Any, Optional[str], ErrorCallback","<complex_annotation>, Optional[Any]"
openhcs/tui/dialogs/help_dialog.py,1,0,3,4,"__init__, _handle_ok, show","Optional[str]","<complex_annotation>"
openhcs/tui/dialogs/base.py,1,0,6,7,"__init__, _create_application, show, set_result, run_async","str, Optional[T]","Optional[T], <complex_annotation>, Application"
openhcs/tui/components/interactive_list_item.py,1,0,14,15,"__init__, _create_container, _get_display_text, _handle_move_up, _handle_move_down","bool, Optional[Callable[<complex_annotation>, Any]], Dict[str, Any], int, Optional[Callable[<complex_annotation>, str]]","str"
openhcs/tui/components/framed_button.py,1,0,3,4,"__init__, mouse_handler, __pt_container__","str, Optional[Callable[<complex_annotation>, <complex_annotation>]], Optional[int]","Container"
openhcs/tui/components/spinner.py,1,0,14,15,"__init__, __pt_container__, spin, start, stop","Optional[List[str]], float, str, Optional[Callable[<complex_annotation>, <complex_annotation>]]",""
openhcs/tui/components/loading_screen.py,1,0,12,13,"__init__, __pt_container__, start, complete, get_children","str, Optional[Callable[<complex_annotation>, <complex_annotation>]]",""
openhcs/tui/components/grouped_dropdown.py,1,0,11,12,"__init__, on_change, __pt_container__, get_children, preferred_width","Dict[str, List[Tuple[Any, str]]], Any, Optional[Callable[<complex_annotation>, <complex_annotation>]]",""
openhcs/tui/components/parameter_editor.py,1,0,17,18,"__init__, _build_ui, _create_parameter_editors, _create_parameter_editor, accept_handler","Optional[Callable[<complex_annotation>, Any]], str, Any, Optional[Callable], Optional[Dict[str, Any]]",""
openhcs/tui/commands/pipeline_commands.py,5,0,15,20,"__init__, execute, can_execute","<complex_annotation>","<complex_annotation>, bool"
openhcs/tui/commands/registry.py,1,0,7,8,"__init__, register, register_type, get, create_handler","str, Any, <complex_annotation>, Type[<complex_annotation>], Optional[Dict[str, Any]]","<complex_annotation>, Optional[<complex_annotation>], Optional[Callable[<complex_annotation>, Awaitable[<complex_annotation>]]]"
openhcs/tui/commands/dialog_commands.py,2,0,6,8,"__init__, execute, can_execute","<complex_annotation>","<complex_annotation>, bool"
openhcs/tui/commands/plate_commands.py,3,0,9,12,"__init__, execute, can_execute","<complex_annotation>","<complex_annotation>, bool"
openhcs/tui/services/external_editor_service.py,1,0,4,5,"__init__, edit_pattern_in_external_editor, _validate_pattern_file, _show_error_dialog","str, Any","Tuple[bool, Optional[Union[List, Dict]], Optional[str]], Tuple[bool, Optional[Any], Optional[str]]"
openhcs/tui/services/plate_validation.py,3,0,9,12,"__call__, close, __init__, validate_plate, _validate_plate_directory","Dict[str, Any], str, Optional[str], ProcessingContext, ValidationResultCallback","<complex_annotation>, Dict[str, Any], bool, str"
openhcs/tui/utils/dialog_helpers.py,0,11,0,11,"ok_handler, cancel_dialog, focus_text_area, handler, show_error_dialog","str, asyncio.Future, Optional[Any], Any, TextArea","Callable[<complex_annotation>, <complex_annotation>], Optional[str], <complex_annotation>"
openhcs/tui/utils/error_handling.py,0,5,0,5,"handle_async_errors, handle_async_errors_decorator, decorator, wrapper, show_error_dialog","str, Optional[Any], Optional[Union[Type[Exception], Tuple[Type[Exception], <complex_annotation>]]], Awaitable[T], Callable[<complex_annotation>, Awaitable[T]]","Optional[T], Callable[<complex_annotation>, Callable[<complex_annotation>, Awaitable[Optional[T]]]], Callable[<complex_annotation>, Awaitable[Optional[T]]], <complex_annotation>"
